"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2025-08-05,0.5,80.6,8.1,7.1,22300,13.4,NA,"1.6",80.6
"CB5.3",2025-08-05,1,80.6,8.1,7.1,22300,13.4,NA,NA,80.6
"CB5.3",2025-08-05,2,80.6,8.1,7.1,22300,13.4,NA,NA,80.6
"CB5.3",2025-08-05,3,80.6,8.1,7.1,22300,13.4,NA,NA,80.6
"CB5.3",2025-08-05,4,80.6,8.1,7,22300,13.4,NA,NA,80.6
"CB5.3",2025-08-05,5,80.78,8.1,7,22300,13.4,NA,NA,80.78
"CB5.3",2025-08-05,6,80.78,8.1,7,22400,13.4,NA,NA,80.78
"CB5.3",2025-08-05,7,80.78,8.1,6.9,22400,13.5,NA,NA,80.78
"CB5.3",2025-08-05,8,80.78,8.1,6.4,22600,13.6,NA,NA,80.78
"CB5.3",2025-08-05,9,80.78,8,5.4,24000,14.5,NA,NA,80.78
"CB5.3",2025-08-05,10,80.96,7.9,4.6,25500,15.5,NA,NA,80.96
"CB5.3",2025-08-05,11,80.96,7.7,3.5,29000,17.9,NA,NA,80.96
"CB5.3",2025-08-05,12,80.6,7.5,1.7,32700,20.4,NA,NA,80.6
"CB5.3",2025-08-05,13,80.6,7.5,1.4,33500,21,NA,NA,80.6
"CB5.3",2025-08-05,15,80.6,7.5,1.4,33800,21.1,NA,NA,80.6
"CB5.3",2025-08-05,17,80.24,7.5,1.1,34700,21.8,NA,NA,80.24
"CB5.3",2025-08-05,19,80.06,7.5,0.9,35100,22,NA,NA,80.06
"CB5.3",2025-08-05,21,80.06,7.5,0.9,35400,22.2,NA,NA,80.06
"CB5.3",2025-08-05,23,79.88,7.5,0.9,35600,22.4,NA,NA,79.88
"CB5.3",2025-08-05,24,79.88,7.5,0.9,35900,22.6,NA,NA,79.88
"LE2.3",2025-08-05,0.5,81.14,8.1,6.7,20200,12,NA,"1.8",81.14
"LE2.3",2025-08-05,1,81.14,8.1,6.7,20200,12,NA,NA,81.14
"LE2.3",2025-08-05,2,81.14,8.1,6.7,20200,12,NA,NA,81.14
"LE2.3",2025-08-05,3,81.14,8.1,6.7,20200,12,NA,NA,81.14
"LE2.3",2025-08-05,4,81.14,8,6.7,20200,12,NA,NA,81.14
"LE2.3",2025-08-05,5,81.14,8.1,6.9,20500,12.2,NA,NA,81.14
"LE2.3",2025-08-05,6,81.32,8,6.8,20600,12.3,NA,NA,81.32
"LE2.3",2025-08-05,7,81.14,7.9,5.9,20900,12.5,NA,NA,81.14
"LE2.3",2025-08-05,8,81.32,7.9,5.3,21900,13.1,NA,NA,81.32
"LE2.3",2025-08-05,9,81.32,7.9,5.7,22000,13.2,NA,NA,81.32
"LE2.3",2025-08-05,10,81.14,8,6,22100,13.3,NA,NA,81.14
"LE2.3",2025-08-05,11,81.32,8,5.8,22400,13.4,NA,NA,81.32
"LE2.3",2025-08-05,12,81.32,7.6,3.1,23200,14,NA,NA,81.32
"LE2.3",2025-08-05,13,80.6,7.3,0.1,25600,15.5,NA,NA,80.6
"LE2.3",2025-08-05,14,80.6,7.3,0.1,26600,16.3,NA,NA,80.6
"LE2.3",2025-08-05,15,80.42,7.3,0.1,28200,17.3,NA,NA,80.42
"LE2.3",2025-08-05,16,80.42,7.3,0.1,28500,17.5,NA,NA,80.42
"LE2.3",2025-08-05,17,80.24,7.3,0.1,28900,17.8,NA,NA,80.24
"LE2.3",2025-08-05,18,80.42,7.3,0.1,29500,18.2,NA,NA,80.42
