"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempC"
"CB5.3",2026-05-11,0.5,61.88,8.1,9.3,26700,16.4,NA,"1.8","MDmain",16.6
"CB5.3",2026-05-11,1,61.88,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,2,61.88,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,3,61.88,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,4,61.88,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,5,61.7,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.5
"CB5.3",2026-05-11,6,61.7,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.5
"CB5.3",2026-05-11,7,61.88,8.1,9.3,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,8,61.88,8.1,9.2,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,9,61.88,8.1,9.2,26700,16.4,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,10,61.88,8.1,9.2,26800,16.5,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,11,61.88,8.1,8.9,27100,16.6,NA,NA,"MDmain",16.6
"CB5.3",2026-05-11,12,60.62,7.8,7,32700,20.6,NA,NA,"MDmain",15.9
"CB5.3",2026-05-11,13,60.08,7.8,6.5,34600,21.8,NA,NA,"MDmain",15.6
"CB5.3",2026-05-11,14,60.08,7.7,6.4,34700,21.9,NA,NA,"MDmain",15.6
"CB5.3",2026-05-11,15,59.9,7.7,6.4,34700,21.9,NA,NA,"MDmain",15.5
"CB5.3",2026-05-11,17,59.9,7.7,6.3,34700,21.9,NA,NA,"MDmain",15.5
"CB5.3",2026-05-11,19,59.9,7.7,6.3,34800,22,NA,NA,"MDmain",15.5
"CB5.3",2026-05-11,21,59.9,7.7,6.3,34900,22,NA,NA,"MDmain",15.5
