"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2025-07-11,0.5,82.04,8.3,7.7,20200,12,NA,"1.6",82.04
"CB5.3",2025-07-11,1,82.04,8.3,7.7,20200,12,NA,NA,82.04
"CB5.3",2025-07-11,2,82.04,8.3,7.7,20200,12,NA,NA,82.04
"CB5.3",2025-07-11,3,82.04,8.3,7.7,20300,12.1,NA,NA,82.04
"CB5.3",2025-07-11,4,82.58,8.2,7.4,21100,12.6,NA,NA,82.58
"CB5.3",2025-07-11,5,82.58,8.2,7,21600,12.9,NA,NA,82.58
"CB5.3",2025-07-11,6,82.22,8,6.2,22300,13.4,NA,NA,82.22
"CB5.3",2025-07-11,7,82.04,8,5.7,22600,13.6,NA,NA,82.04
"CB5.3",2025-07-11,8,81.86,7.9,5,23400,14.2,NA,NA,81.86
"CB5.3",2025-07-11,9,81.86,7.8,4.6,23800,14.4,NA,NA,81.86
"CB5.3",2025-07-11,10,81.32,7.7,3.4,25100,15.2,NA,NA,81.32
"CB5.3",2025-07-11,11,80.6,7.6,2.3,25300,15.4,NA,NA,80.6
"CB5.3",2025-07-11,12,79.7,7.4,1.3,26600,16.2,NA,NA,79.7
"CB5.3",2025-07-11,13,78.98,7.4,1.1,28300,17.4,NA,NA,78.98
"CB5.3",2025-07-11,14,78.08,7.4,0.7,30300,18.8,NA,NA,78.08
"CB5.3",2025-07-11,15,77.9,7.4,0.6,30800,19.1,NA,NA,77.9
"CB5.3",2025-07-11,17,78.08,7.4,0.7,31600,19.6,NA,NA,78.08
"CB5.3",2025-07-11,19,78.26,7.4,0.7,31700,19.7,NA,NA,78.26
"CB5.3",2025-07-11,21,78.26,7.4,0.7,31700,19.8,NA,NA,78.26
"CB5.3",2025-07-11,23,78.26,7.4,0.8,31800,19.8,NA,NA,78.26
"LE2.3",2025-07-11,0.5,82.4,8.2,7.3,18700,11,NA,"1.7",82.4
"LE2.3",2025-07-11,1,82.22,8.2,7.1,18900,11.1,NA,NA,82.22
"LE2.3",2025-07-11,2,82.22,8.1,6.6,19700,11.7,NA,NA,82.22
"LE2.3",2025-07-11,3,82.04,8.1,6.3,20100,12,NA,NA,82.04
"LE2.3",2025-07-11,4,82.04,8,6,20600,12.3,NA,NA,82.04
"LE2.3",2025-07-11,5,82.04,8,5.3,20800,12.4,NA,NA,82.04
"LE2.3",2025-07-11,6,82.04,8,5.1,21000,12.5,NA,NA,82.04
"LE2.3",2025-07-11,7,81.68,7.9,4.6,21100,12.6,NA,NA,81.68
"LE2.3",2025-07-11,8,78.8,7.3,0.8,23100,14,NA,NA,78.8
"LE2.3",2025-07-11,9,78.26,7.3,0.4,23500,14.2,NA,NA,78.26
"LE2.3",2025-07-11,10,77,7.3,0.1,24800,15.1,NA,NA,77
"LE2.3",2025-07-11,11,76.82,7.3,0.1,25200,15.3,NA,NA,76.82
"LE2.3",2025-07-11,12,76.64,7.3,0.1,25500,15.5,NA,NA,76.64
"LE2.3",2025-07-11,13,76.64,7.3,0.1,25700,15.7,NA,NA,76.64
"LE2.3",2025-07-11,15,76.1,7.3,0.1,26500,16.2,NA,NA,76.1
"LE2.3",2025-07-11,17,75.74,7.3,0.2,26700,16.3,NA,NA,75.74
"CB5.2",2025-07-11,0.5,82.76,8.2,7.4,20600,12.3,NA,"1.9",82.76
"CB5.2",2025-07-11,1,82.76,8.2,7.4,20600,12.3,NA,NA,82.76
