"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempF"
"CB5.3",2025-07-23,0.5,28.4,8.2,7.2,20000,11.9,NA,"1.4","MDmain",83.12
"CB5.3",2025-07-23,1,28.4,8.2,7.2,20000,11.9,NA,NA,"MDmain",83.12
"CB5.3",2025-07-23,2,28.4,8.2,7.2,20100,11.9,NA,NA,"MDmain",83.12
"CB5.3",2025-07-23,3,28.4,8.2,7.2,20100,11.9,NA,NA,"MDmain",83.12
"CB5.3",2025-07-23,4,28.2,8.1,6.8,20100,11.9,NA,NA,"MDmain",82.76
"CB5.3",2025-07-23,5,28.1,8,6.1,21600,12.9,NA,NA,"MDmain",82.58
"CB5.3",2025-07-23,6,28.2,8,5.8,22000,13.2,NA,NA,"MDmain",82.76
"CB5.3",2025-07-23,7,28.4,8,5.2,22500,13.5,NA,NA,"MDmain",83.12
"CB5.3",2025-07-23,8,28.3,7.8,4.3,23400,14.1,NA,NA,"MDmain",82.94
"CB5.3",2025-07-23,9,28.1,7.7,3.1,24600,14.9,NA,NA,"MDmain",82.58
"CB5.3",2025-07-23,10,27.9,7.6,2,27000,16.5,NA,NA,"MDmain",82.22
"CB5.3",2025-07-23,11,27.7,7.5,0.9,30300,18.7,NA,NA,"MDmain",81.86
"CB5.3",2025-07-23,12,27.7,7.5,0.9,30700,19,NA,NA,"MDmain",81.86
"CB5.3",2025-07-23,13,27.6,7.5,0.8,30700,19,NA,NA,"MDmain",81.68
"CB5.3",2025-07-23,15,27.5,7.5,0.7,31200,19.3,NA,NA,"MDmain",81.5
"CB5.3",2025-07-23,17,27.5,7.5,0.6,31500,19.5,NA,NA,"MDmain",81.5
"CB5.3",2025-07-23,19,27.4,7.6,0.4,31900,19.8,NA,NA,"MDmain",81.32
"CB5.3",2025-07-23,21,27.4,7.6,0.4,32200,20,NA,NA,"MDmain",81.32
"CB5.3",2025-07-23,23,27.4,7.6,0.5,32200,20.1,NA,NA,"MDmain",81.32
"LE2.3",2025-07-23,0.5,28.5,8.3,7.6,19700,11.6,NA,"1.7","MDmain",83.3
"LE2.3",2025-07-23,1,28.5,8.3,7.6,19700,11.7,NA,NA,"MDmain",83.3
"LE2.3",2025-07-23,2,28.5,8.3,7.6,19700,11.7,NA,NA,"MDmain",83.3
"LE2.3",2025-07-23,3,28.5,8.3,7.5,19700,11.7,NA,NA,"MDmain",83.3
"LE2.3",2025-07-23,4,28.7,8.2,7.2,20800,12.4,NA,NA,"MDmain",83.66
"LE2.3",2025-07-23,5,28.8,8.2,7.1,20800,12.4,NA,NA,"MDmain",83.84
"LE2.3",2025-07-23,6,28.6,8.1,6.5,20900,12.5,NA,NA,"MDmain",83.48
"LE2.3",2025-07-23,7,28.6,8.1,6.4,21000,12.5,NA,NA,"MDmain",83.48
"LE2.3",2025-07-23,8,28.6,8.1,6.3,21000,12.5,NA,NA,"MDmain",83.48
"LE2.3",2025-07-23,9,28.6,8.1,5.9,21100,12.6,NA,NA,"MDmain",83.48
"LE2.3",2025-07-23,10,26.4,7.3,0.4,23900,14.5,NA,NA,"MDmain",79.52
"LE2.3",2025-07-23,11,25.6,7.3,0.1,24700,15,NA,NA,"MDmain",78.08
"LE2.3",2025-07-23,12,25.4,7.3,0.1,24700,15,NA,NA,"MDmain",77.72
"LE2.3",2025-07-23,13,25.4,7.3,0.1,24700,15,NA,NA,"MDmain",77.72
"LE2.3",2025-07-23,14,25.3,7.3,0.1,25100,15.2,NA,NA,"MDmain",77.54
"LE2.3",2025-07-23,15,25.2,7.3,0.1,25300,15.4,NA,NA,"MDmain",77.36
"LE2.3",2025-07-23,17,25.2,7.3,0.1,25400,15.5,NA,NA,"MDmain",77.36
"LE2.3",2025-07-23,18,25.2,7.3,0.1,25400,15.5,NA,NA,"MDmain",77.36
