UTM_X,UTM_Y,Segment,EW_dim,NS_dim,Vert_dim,n,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42,layer_43,layer_44,layer_45,Bottom,Minimum,Maximum,Mean,Sum
403000,4384000,CB1TF,1000,1000,1,2,6.46,6.44,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.44,6.44,6.46,6.45,12.90
404000,4384000,CB1TF,1000,1000,1,5,6.46,6.43,6.56,7.00,6.95,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.95,6.43,7.00,6.68,33.40
404000,4383000,CB1TF,1000,1000,1,3,6.49,6.47,6.55,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.55,6.47,6.55,6.50,19.51
405000,4383000,CB1TF,1000,1000,1,8,6.48,6.46,6.54,7.00,6.95,6.90,6.90,6.90,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.90,6.46,7.00,6.77,54.13
405000,4382000,CB1TF,1000,1000,1,3,6.51,6.50,6.53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.53,6.50,6.53,6.51,19.54
406000,4382000,CB1TF,1000,1000,1,1,6.51,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.51,6.51,6.51,6.51,6.51
405000,4381000,CB1TF,1000,1000,1,1,6.54,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.54,6.54,6.54,6.54,6.54
406000,4381000,CB1TF,1000,1000,1,4,6.54,6.53,6.52,7.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7.00,6.52,7.00,6.65,26.59
407000,4381000,CB1TF,1000,1000,1,3,6.54,6.53,6.52,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.52,6.52,6.54,6.53,19.59
406000,4380000,CB1TF,1000,1000,1,7,6.57,6.56,6.51,7.00,6.95,6.90,6.90,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.90,6.51,7.00,6.77,47.39
407000,4380000,CB1TF,1000,1000,1,12,6.57,6.56,6.51,7.00,6.95,6.90,6.90,6.90,6.90,-9.00,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.00,6.51,7.00,6.80,61.19
407000,4379000,CB1TF,1000,1000,1,16,6.59,6.59,6.50,6.66,6.63,5.55,5.45,5.35,5.20,5.10,5.10,5.10,5.10,-9.00,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.00,5.10,6.66,5.76,74.92
411000,4379000,CB1TF,1000,1000,1,1,6.39,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.39,6.39,6.39,6.39,6.39
407000,4378000,CB1TF,1000,1000,1,5,6.60,6.60,6.50,6.68,6.64,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.64,6.50,6.68,6.60,33.02
408000,4378000,CB1TF,1000,1000,1,2,6.59,6.59,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.59,6.59,6.59,6.59,13.18
411000,4378000,CB1TF,1000,1000,1,3,6.43,6.40,6.55,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.55,6.40,6.55,6.46,19.38
412000,4378000,CB1TF,1000,1000,1,2,6.31,6.26,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.26,6.26,6.31,6.29,12.57
407000,4377000,CB1TF,1000,1000,1,4,6.60,6.60,6.50,6.70,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.70,6.50,6.70,6.60,26.40
