"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","tempF"
"CB5.3",2022-07-26,NA,NA,NA,NA,NA,NA,NA
"LE2.3",2022-07-26,0.5,81.68,7.9,6.2,21200,12.7,81.68
"LE2.3",2022-07-26,1,81.68,7.9,6.2,21200,12.7,81.68
"LE2.3",2022-07-26,2,81.68,7.9,6.1,21300,12.7,81.68
"LE2.3",2022-07-26,3,81.68,7.9,5.7,21400,12.8,81.68
"LE2.3",2022-07-26,4,81.5,7.6,3.3,23900,14.4,81.5
"LE2.3",2022-07-26,5,80.6,7.4,2.2,25300,15.4,80.6
"LE2.3",2022-07-26,7,80.42,7.4,1.9,25300,15.4,80.42
"LE2.3",2022-07-26,8,80.06,7.3,1.2,25600,15.6,80.06
"LE2.3",2022-07-26,9,79.34,7.3,0.8,26300,16.1,79.34
"LE2.3",2022-07-26,10,78.98,7.3,0.6,27300,16.8,78.98
"LE2.3",2022-07-26,11,78.26,7.3,0.3,27900,17.1,78.26
"LE2.3",2022-07-26,12,77.9,7.3,0.4,28800,17.8,77.9
"LE2.3",2022-07-26,13,77.9,7.3,0.4,29000,17.9,77.9
"LE2.3",2022-07-26,14,78.08,7.3,0.4,29000,18.3,78.08
"LE2.3",2022-07-26,15,78.26,7.3,0.4,30100,18.6,78.26
"LE2.3",2022-07-26,17,78.08,7.3,0.4,30300,18.8,78.08
"LE2.3",2022-07-26,18,78.08,7.3,0.4,30300,18.8,78.08
"CB5.2",2022-07-26,0.5,83.66,8.1,7.1,24000,14.5,83.66
"CB5.2",2022-07-26,1,83.66,8.1,7.1,24000,14.5,83.66
"CB5.2",2022-07-26,2,83.66,8.1,7,24000,14.5,83.66
"CB5.2",2022-07-26,3,83.66,8.1,6.9,24000,14.5,83.66
"CB5.2",2022-07-26,5,83.48,8.1,6.7,24100,14.5,83.48
"CB5.2",2022-07-26,7,83.3,8.1,6.5,24200,14.6,83.3
"CB5.2",2022-07-26,8,83.3,8.1,6.4,24200,14.6,83.3
"CB5.2",2022-07-26,9,81.5,7.8,4.1,24400,14.8,81.5
"CB5.2",2022-07-26,10,79.34,7.4,1.4,29000,17.9,79.34
"CB5.2",2022-07-26,11,77.9,7.3,0.4,29600,18.3,77.9
"CB5.2",2022-07-26,12,77.54,7.3,0.4,31000,19.2,77.54
"CB5.2",2022-07-26,13,77.18,7.3,0.3,31700,19.7,77.18
"CB5.2",2022-07-26,14,76.82,7.3,0.4,32600,20.3,76.82
"CB5.2",2022-07-26,15,76.64,7.3,0.4,33000,20.6,76.64
"CB5.2",2022-07-26,16,76.64,7.3,0.5,33800,21.2,76.64
"CB5.2",2022-07-26,17,76.46,7.3,0.5,34100,21.4,76.46
"CB5.2",2022-07-26,19,76.1,7.3,0.6,34700,21.8,76.1
"CB5.2",2022-07-26,21,76.1,7.3,0.6,34800,21.9,76.1
"CB5.2",2022-07-26,23,76.1,7.3,0.7,34900,22,76.1
"CB5.2",2022-07-26,25,76.1,7.3,0.7,35000,22,76.1
"CB5.2",2022-07-26,27,76.1,7.3,0.7,35000,22,76.1
"CB5.2",2022-07-26,29,76.1,7.3,0.7,35000,22,76.1
"CB5.2",2022-07-26,30,76.1,7.3,0.7,35000,22,76.1
"CB5.1",2022-07-26,0.5,83.48,8.1,6.8,22100,13.2,83.48
"CB5.1",2022-07-26,1,83.48,8.1,6.8,22100,13.2,83.48
"CB5.1",2022-07-26,2,83.48,8.1,6.8,22100,13.2,83.48
"CB5.1",2022-07-26,3,83.48,8.1,6.7,22100,13.2,83.48
"CB5.1",2022-07-26,5,83.48,8.1,6.6,22100,13.2,83.48
"CB5.1",2022-07-26,6,83.48,8.1,6.4,22100,13.2,83.48
"CB5.1",2022-07-26,7,83.48,8.1,6.3,22100,13.2,83.48
"CB5.1",2022-07-26,8,83.3,8,6,22300,13.3,83.3
"CB5.1",2022-07-26,9,82.4,7.9,4.7,23800,14,82.4
"CB5.1",2022-07-26,10,80.96,7.6,2.8,26600,16.2,80.96
"CB5.1",2022-07-26,11,77.72,7.3,1.4,30100,18.6,77.72
"CB5.1",2022-07-26,12,76.28,7.3,1.3,31900,19.9,76.28
"CB5.1",2022-07-26,13,76.28,7.3,0.1,32100,20,76.28
"CB5.1",2022-07-26,14,76.28,7.3,0.11,32200,20.1,76.28
"CB5.1",2022-07-26,15,76.28,7.3,0.11,32300,20.1,76.28
"CB5.1",2022-07-26,16,76.28,7.3,0.14,32600,20.4,76.28
"CB5.1",2022-07-26,17,76.1,7.3,0.2,33500,21,76.1
"CB5.1",2022-07-26,18,75.92,7.3,0.24,33900,21.2,75.92
"CB5.1",2022-07-26,19,75.92,7.3,0.28,34100,21.4,75.92
"CB5.1",2022-07-26,21,75.92,7.3,0.31,34200,21.5,75.92
"CB5.1",2022-07-26,23,75.92,7.3,0.37,34400,21.6,75.92
"CB5.1",2022-07-26,25,75.92,7.3,0.37,34400,21.6,75.92
"CB5.1",2022-07-26,27,75.92,7.3,0.39,34400,21.6,75.92
"CB5.1",2022-07-26,29,75.92,7.3,0.4,34500,21.7,75.92
"CB5.1",2022-07-26,31,75.92,7.3,0.41,34500,21.7,75.92
"CB5.1",2022-07-26,33,75.92,7.3,0.45,34500,21.7,75.92
"CB5.1",2022-07-26,34,75.92,7.3,0.5,34600,21.8,75.92
"CB4.4",2022-07-26,0.5,83.3,8.2,7.6,21700,13,83.3
"CB4.4",2022-07-26,1,83.3,8.2,7.5,21700,13,83.3
"CB4.4",2022-07-26,2,83.3,8.2,7.4,21700,13,83.3
"CB4.4",2022-07-26,3,83.3,8.2,7.3,21700,13,83.3
"CB4.4",2022-07-26,5,82.76,8.1,6.1,21800,13,82.76
"CB4.4",2022-07-26,6,81.68,7.7,4.7,22000,13.2,81.68
"CB4.4",2022-07-26,7,81.68,7.7,4.6,22200,13.3,81.68
"CB4.4",2022-07-26,8,81.32,7.5,3.5,22500,13.5,81.32
"CB4.4",2022-07-26,9,80.42,7.3,1.7,23500,14.2,80.42
"CB4.4",2022-07-26,10,78.98,7.3,1.2,25300,15.4,78.98
"CB4.4",2022-07-26,11,77.18,7.3,0.1,28100,17.3,77.18
"CB4.4",2022-07-26,12,76.82,7.3,0.11,29300,18.1,76.82
"CB4.4",2022-07-26,13,76.64,7.3,0.11,29600,18.3,76.64
"CB4.4",2022-07-26,14,76.64,7.3,0.11,29900,18.5,76.64
"CB4.4",2022-07-26,15,76.64,7.3,0.11,31500,19.6,76.64
"CB4.4",2022-07-26,16,76.46,7.3,0.11,31600,19.7,76.46
"CB4.4",2022-07-26,17,76.28,7.3,0.11,32100,20,76.28
"CB4.4",2022-07-26,18,75.92,7.3,0.13,33200,20.8,75.92
"CB4.4",2022-07-26,19,75.92,7.3,0.15,33400,20.9,75.92
"CB4.4",2022-07-26,21,75.92,7.3,0.22,34000,21.3,75.92
"CB4.4",2022-07-26,23,75.92,7.3,0.27,34300,21.5,75.92
"CB4.4",2022-07-26,25,75.92,7.3,0.29,34300,21.5,75.92
"CB4.4",2022-07-26,27,75.92,7.3,0.3,34300,21.5,75.92
"CB4.4",2022-07-26,29,75.92,7.3,0.33,34400,21.6,75.92
"CB4.4",2022-07-26,30,75.92,7.3,0.36,34400,21.6,75.92
"CB4.3E",2022-07-26,NA,NA,NA,NA,NA,NA,NA
"CB4.3C",2022-07-26,0.5,82.76,8.2,7.4,21200,12.7,82.76
"CB4.3C",2022-07-26,1,82.76,8.2,7.3,21200,12.7,82.76
"CB4.3C",2022-07-26,2,82.76,8.2,7.3,21200,12.7,82.76
"CB4.3C",2022-07-26,3,82.76,8.2,7,21200,12.7,82.76
