"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2024-09-24,0.5,73.76,8.2,7.8,25900,15.8,NA,"2.2",73.76
"CB5.3",2024-09-24,1,73.76,8.2,7.8,25900,15.8,NA,NA,73.76
"CB5.3",2024-09-24,2,73.76,8.2,7.8,25900,15.8,NA,NA,73.76
"CB5.3",2024-09-24,3,73.76,8.2,7.8,25900,15.8,NA,NA,73.76
"CB5.3",2024-09-24,4,73.76,8.2,7.8,25900,15.8,NA,NA,73.76
"CB5.3",2024-09-24,5,73.76,8.2,7.8,25900,15.8,NA,NA,73.76
"CB5.3",2024-09-24,6,73.76,8.2,7.7,25900,15.8,NA,NA,73.76
"CB5.3",2024-09-24,7,73.94,8.1,7.5,25900,15.8,NA,NA,73.94
"CB5.3",2024-09-24,8,74.3,8,6.3,26300,16.1,NA,NA,74.3
"CB5.3",2024-09-24,9,74.3,8,5.8,28500,17.6,NA,NA,74.3
"CB5.3",2024-09-24,10,74.48,7.9,5.6,29500,18.2,NA,NA,74.48
"CB5.3",2024-09-24,11,74.48,7.9,5.2,34700,21.9,NA,NA,74.48
"CB5.3",2024-09-24,12,74.48,7.9,5.2,34900,22,NA,NA,74.48
"CB5.3",2024-09-24,13,74.48,7.9,5.3,35100,22.1,NA,NA,74.48
"CB5.3",2024-09-24,14,74.48,7.9,5.3,35100,22.1,NA,NA,74.48
"CB5.3",2024-09-24,15,74.48,7.9,5.2,35100,22.3,NA,NA,74.48
"CB5.3",2024-09-24,16,74.48,7.9,5.2,35300,22.3,NA,NA,74.48
"CB5.3",2024-09-24,17,74.3,7.9,5.1,36000,22.7,NA,NA,74.3
"CB5.3",2024-09-24,19,74.3,7.9,5.1,36500,23.1,NA,NA,74.3
"CB5.3",2024-09-24,21,74.3,7.9,5.1,36700,23.2,NA,NA,74.3
"CB5.3",2024-09-24,23,74.3,7.9,5.2,36800,23.3,NA,NA,74.3
"CB5.3",2024-09-24,24,74.3,7.9,5.2,37100,23.5,NA,NA,74.3
"LE2.3",2024-09-24,0.5,73.94,8.2,8,22300,13.5,NA,"1.6",73.94
"LE2.3",2024-09-24,1,73.94,8.2,8,22300,13.5,NA,NA,73.94
"LE2.3",2024-09-24,2,73.94,8.2,8,22300,13.5,NA,NA,73.94
"LE2.3",2024-09-24,3,73.94,8.2,8,22300,13.5,NA,NA,73.94
"LE2.3",2024-09-24,4,73.94,8.2,8,22300,13.5,NA,NA,73.94
"LE2.3",2024-09-24,5,73.94,8.2,8.2,22600,13.6,NA,NA,73.94
"LE2.3",2024-09-24,6,73.76,8.1,8.1,23400,14.1,NA,NA,73.76
"LE2.3",2024-09-24,7,73.76,8.1,8.1,23500,14.2,NA,NA,73.76
"LE2.3",2024-09-24,8,73.76,8.1,8.1,23800,14.4,NA,NA,73.76
"LE2.3",2024-09-24,9,74.66,7.7,7.7,25400,15.5,NA,NA,74.66
"LE2.3",2024-09-24,10,74.66,7.8,7.8,26100,16,NA,NA,74.66
"LE2.3",2024-09-24,11,74.48,7.8,7.8,27200,16.7,NA,NA,74.48
"LE2.3",2024-09-24,12,74.48,7.8,4.6,27600,17,NA,NA,74.48
"LE2.3",2024-09-24,13,74.48,7.7,4.3,28500,17.6,NA,NA,74.48
"LE2.3",2024-09-24,14,74.48,7.7,4,29200,18.1,NA,NA,74.48
"LE2.3",2024-09-24,15,74.48,7.7,3.9,29300,18.1,NA,NA,74.48
"LE2.3",2024-09-24,17,74.3,7.6,3.5,29800,18.4,NA,NA,74.3
"LE2.3",2024-09-24,18,74.3,7.6,3.4,29900,18.5,NA,NA,74.3
"CB5.2",2024-09-24,0.5,73.4,8.1,7.4,23800,14.4,NA,"1.6",73.4
"CB5.2",2024-09-24,1,73.4,8.1,7.4,23800,14.4,NA,NA,73.4
"CB5.2",2024-09-24,2,73.58,8.1,7.4,23800,14.4,NA,NA,73.58
"CB5.2",2024-09-24,3,73.4,8.1,7.4,23800,14.4,NA,NA,73.4
"CB5.2",2024-09-24,4,73.4,8.1,7.4,23800,14.4,NA,NA,73.4
"CB5.2",2024-09-24,5,73.58,8.1,7.2,23900,14.5,NA,NA,73.58
"CB5.2",2024-09-24,6,73.58,8.1,7.1,24000,14.6,NA,NA,73.58
"CB5.2",2024-09-24,7,73.58,8.1,7.1,24000,14.6,NA,NA,73.58
"CB5.2",2024-09-24,8,73.76,8,7,24200,14.7,NA,NA,73.76
"CB5.2",2024-09-24,9,73.94,8,6.4,25100,15.3,NA,NA,73.94
"CB5.2",2024-09-24,10,74.3,7.7,5.5,26100,16,NA,NA,74.3
"CB5.2",2024-09-24,11,74.3,7.7,4.1,30000,18.6,NA,NA,74.3
"CB5.2",2024-09-24,12,74.3,7.7,3.9,30300,18.8,NA,NA,74.3
"CB5.2",2024-09-24,13,74.3,7.7,3.8,30800,19.2,NA,NA,74.3
"CB5.2",2024-09-24,14,74.3,7.7,3.4,31000,19.3,NA,NA,74.3
"CB5.2",2024-09-24,15,74.3,7.6,3.1,33300,20.8,NA,NA,74.3
"CB5.2",2024-09-24,16,74.3,7.6,2.9,33500,21,NA,NA,74.3
"CB5.2",2024-09-24,17,74.3,7.7,3.1,33600,21.1,NA,NA,74.3
"CB5.2",2024-09-24,18,74.3,7.7,3.1,33600,21.1,NA,NA,74.3
"CB5.2",2024-09-24,19,74.3,7.7,3.3,34700,21.8,NA,NA,74.3
"CB5.2",2024-09-24,20,74.3,7.7,3.1,35000,21.6,NA,NA,74.3
