"UTMX","UTMY","name"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4344000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4342000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4343000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4341000,"Tea Kettle Shoals"
NA,4341000,"Tea Kettle Shoals"
NA,4341000,"Tea Kettle Shoals"
NA,4341000,"Tea Kettle Shoals"
NA,4341000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
NA,4340000,"Tea Kettle Shoals"
