months,maxdatahs,mindatahs,meandatahs,,,2024,2023,,recalculatedmean2023,meandatahs
January,100,98.6,99.9,,,100,100,,99.9027027,99.90526316
February,100,100,100,,,100,100,,100,100
March,100,99.9,100,,,100,100,,100,100
April,100,96.3,99.4,,,95.04,100,,99.28216216,99.30105263
May,99.9,71.6,90.8,,,84.47,84.23,,90.62891892,90.46052632
Early June,91.8,67.9,78.3,,,,80.12,,76.18378378,76.28736842
Late June,89.1,59.5,76.1,,,,85.62,,74.04324324,74.34789474
Early July,88.6,11.7,64.5,,,15.92,63.05,,63.18702703,63.18342105
Late July,85.5,2.52,56.9,,,65.38,65.05,,57.12918919,57.33763158
Early August,86.3,4.31,61,,,80.27,,,61.52081081,59.90184211
Late August,91.4,26.2,72.1,,,78.11,,,72.26243243,70.36078947
September,97.9,77.1,87.9,,,85.32,57.11,,87.83027027,87.02184211
October,100,88.4,97,,,98.03,100,,97.02783784,97.10605263
November,100,97,99.8,,,100,,,99.80540541,97.17894737
December,100,95.3,99.8,,,100,,,99.80540541,97.17894737
