"Segment","UTMX","UTMY","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","habitat","paramofinterest","heatcol","habitatword"
"POTOH",292000,4259500,0,250000,8.39,73.74,"292000 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",292500,4258000,0,250000,8.4,73.71,"292500 4258000",0,3,3,"#1E90FF","Suitable"
"POTOH",292500,4258500,0,250000,8.4,73.72,"292500 4258500",0,3,3,"#1E90FF","Suitable"
"POTOH",292500,4259500,0,250000,8.38,73.76,"292500 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",293500,4247500,0,250000,8.42,73.07,"293500 4247500",0,3,3,"#1E90FF","Suitable"
"POTOH",293500,4256500,0,250000,8.42,73.71,"293500 4256500",0,3,3,"#1E90FF","Suitable"
"POTOH",293500,4257000,0,250000,8.41,73.72,"293500 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",294000,4256500,0,250000,8.41,73.73,"294000 4256500",0,3,3,"#1E90FF","Suitable"
"POTOH",294000,4257000,0,250000,8.41,73.74,"294000 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",294500,4255000,0,250000,8.43,73.72,"294500 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",294500,4256000,0,250000,8.42,73.75,"294500 4256000",0,3,3,"#1E90FF","Suitable"
"POTOH",295000,4247000,0,250000,8.44,72.98,"295000 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",295000,4254000,0,250000,8.43,73.73,"295000 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",295000,4254500,0,250000,8.43,73.75,"295000 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",295000,4255000,0,250000,8.42,73.76,"295000 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",295500,4247500,0,250000,8.44,73.05,"295500 4247500",0,3,3,"#1E90FF","Suitable"
"POTOH",295500,4253500,0,250000,8.43,73.76,"295500 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",295500,4254000,0,250000,8.43,73.78,"295500 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",295500,4254500,0,250000,8.42,73.79,"295500 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",295500,4255000,0,250000,8.42,73.8,"295500 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",296000,4247000,0,250000,8.45,72.95,"296000 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",296000,4247500,0,250000,8.44,73.04,"296000 4247500",0,3,3,"#1E90FF","Suitable"
"POTOH",296000,4253000,0,250000,8.43,73.78,"296000 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",296000,4253500,0,250000,8.43,73.81,"296000 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",296000,4254000,0,250000,8.42,73.82,"296000 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",296000,4255000,0,250000,8.42,73.84,"296000 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",296500,4246500,0,250000,8.46,72.84,"296500 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",296500,4247000,0,250000,8.45,72.94,"296500 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",296500,4252500,0,250000,8.43,73.81,"296500 4252500",0,3,3,"#1E90FF","Suitable"
"POTOH",296500,4253000,0,250000,8.43,73.84,"296500 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",296500,4254000,0,250000,8.42,73.88,"296500 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",297000,4246000,0,250000,8.48,72.71,"297000 4246000",0,3,3,"#1E90FF","Suitable"
"POTOH",297000,4246500,0,250000,8.47,72.81,"297000 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",297000,4249000,0,250000,8.48,73.34,"297000 4249000",0,3,3,"#1E90FF","Suitable"
"POTOH",297000,4252500,0,250000,8.43,73.87,"297000 4252500",0,3,3,"#1E90FF","Suitable"
"POTOH",297000,4253000,0,250000,8.42,73.9,"297000 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",297000,4253500,0,250000,8.42,73.93,"297000 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4246500,0,250000,8.48,72.77,"297500 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4247000,0,250000,8.47,72.88,"297500 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4249000,0,250000,8.48,73.36,"297500 4249000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4252000,0,250000,8.43,73.9,"297500 4252000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4256000,0,250000,8.4,73.97,"297500 4256000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4256500,0,250000,8.4,73.95,"297500 4256500",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4257000,0,250000,8.39,73.94,"297500 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4257500,0,250000,8.38,73.93,"297500 4257500",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4258000,0,250000,8.37,73.93,"297500 4258000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4258500,0,250000,8.36,73.93,"297500 4258500",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4259000,0,250000,8.35,73.93,"297500 4259000",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4259500,0,250000,8.33,73.95,"297500 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",297500,4260000,0,250000,8.31,73.96,"297500 4260000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4246500,0,250000,8.48,72.72,"298000 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4247000,0,250000,8.47,72.84,"298000 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4251000,0,250000,8.43,73.82,"298000 4251000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4251500,0,250000,8.43,73.91,"298000 4251500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4252000,0,250000,8.42,73.97,"298000 4252000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4254000,0,250000,8.41,74.07,"298000 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4254500,0,250000,8.4,74.07,"298000 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4255000,0,250000,8.4,74.05,"298000 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4255500,0,250000,8.4,74.03,"298000 4255500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4256000,0,250000,8.4,74.01,"298000 4256000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4256500,0,250000,8.4,73.99,"298000 4256500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4257000,0,250000,8.39,73.97,"298000 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4257500,0,250000,8.38,73.96,"298000 4257500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4258000,0,250000,8.37,73.95,"298000 4258000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4258500,0,250000,8.36,73.94,"298000 4258500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4259000,0,250000,8.35,73.95,"298000 4259000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4259500,0,250000,8.33,73.96,"298000 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4260000,0,250000,8.31,73.98,"298000 4260000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4260500,0,250000,8.28,74,"298000 4260500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4261000,0,250000,8.26,74.04,"298000 4261000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4246500,0,250000,8.49,72.65,"298500 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4247000,0,250000,8.48,72.79,"298500 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4250500,0,250000,8.44,73.78,"298500 4250500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4251000,0,250000,8.43,73.89,"298500 4251000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4251500,0,250000,8.42,73.98,"298500 4251500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4252000,0,250000,8.41,74.05,"298500 4252000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4252500,0,250000,8.41,74.1,"298500 4252500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4253000,0,250000,8.4,74.14,"298500 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4253500,0,250000,8.4,74.15,"298500 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4254000,0,250000,8.4,74.15,"298500 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4254500,0,250000,8.4,74.14,"298500 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4255000,0,250000,8.4,74.11,"298500 4255000",0,3,3,"#1E90FF","Suitable"
