UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY,distfrommouth
375000,4266000,CB4MH,63.97638,1e+06,0.1,80.09,375000 4266000,19.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,18.04462,1e+06,5.24,80.52,375000 4266000,5.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,41.0105,1e+06,0.2,80.76,375000 4266000,12.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,67.25722,1e+06,0.1,80.09,375000 4266000,20.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,31.16798,1e+06,0.7,81.03,375000 4266000,9.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,37.72966,1e+06,0.36,80.94,375000 4266000,11.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,21.32546,1e+06,4.05,80.83,375000 4266000,6.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,11.48294,1e+06,6.42,80.08,375000 4266000,3.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,4.92126,1e+06,6.78,79.97,375000 4266000,1.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,50.85302,1e+06,0.1,80.49,375000 4266000,15.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,24.6063,1e+06,2.43,80.93,375000 4266000,7.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,34.44882,1e+06,0.51,81,375000 4266000,10.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,57.4147,1e+06,0.1,80.24,375000 4266000,17.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,44.29134,1e+06,0.12,80.61,375000 4266000,13.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,27.88714,1e+06,1.31,81.11,375000 4266000,8.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
