year,Habitat,volume,percent
2016,Marginal,0.4788325,7.21
2016,Suitable,2.669455,40.17
2016,Tolerable,2.42283,36.46
2016,Unsuitable,1.07375,16.16
2017,Marginal,0.45923,6.9
2017,Suitable,5.017695,75.44
2017,Tolerable,0.4428125,6.66
2017,Unsuitable,0.73113,10.99
2018,Marginal,1.0554275,15.86
2018,Suitable,2.6361375,39.6
2018,Tolerable,1.890045,28.39
2018,Unsuitable,1.074755,16.15
2019,Marginal,0.5153025,7.74
2019,Suitable,2.5304375,38.01
2019,Tolerable,1.9352475,29.07
2019,Unsuitable,1.676505,25.18
2020,Marginal,1.6109825,24.19
2020,Suitable,1.2122275,18.21
2020,Tolerable,2.9049625,43.63
2020,Unsuitable,0.9303125,13.97
2021,Marginal,0.33145,5.02
2021,Suitable,4.3504375,65.94
2021,Tolerable,0.4733275,7.17
2021,Unsuitable,1.442315,21.86
2022,Marginal,2.16891,32.59
2022,Suitable,0.2040675,3.07
2022,Tolerable,2.6819175,40.29
2022,Unsuitable,1.6008475,24.05
2023,Marginal,0.07839,1.37
2023,Suitable,5.1897975,90.89
2023,Tolerable,0.1743625,3.05
2023,Unsuitable,0.26738,4.68
2024,Marginal,0.23115,4.05
2024,Suitable,4.336425,76.05
2024,Tolerable,0.9221675,16.17
2024,Unsuitable,0.2125,3.73
2025,Marginal,0.29826,5.23
2025,Suitable,3.62274,63.51
2025,Tolerable,0.531905,9.32
2025,Unsuitable,1.2517125,21.94
2026,Marginal,1.325815,23.24
2026,Suitable,2.0849075,36.54
2026,Tolerable,1.661565,29.12
2026,Unsuitable,0.6335725,11.1
