UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesx,milesy,distfrommouth
300500,4254500,POTOH,11.48294,250000,7.07,84.8,300500 4254500,3.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,14.76378,250000,6.71,84.6,300500 4254500,4.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,4.92126,250000,7.82,85.1,300500 4254500,1.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,1.64042,250000,8.1,85.2,300500 4254500,0.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,8.2021,250000,7.45,84.9,300500 4254500,2.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
301000,4265500,POTOH,18.04462,250000,6.38,84.6,301000 4265500,5.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,8.2021,250000,6.81,85.5,301000 4265500,2.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,14.76378,250000,6.43,84.6,301000 4265500,4.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,1.64042,250000,7.21,86.2,301000 4265500,0.5,Unsuitable,black,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,21.32546,250000,6.34,84.6,301000 4265500,6.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,11.48294,250000,6.58,85.1,301000 4265500,3.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,4.92126,250000,7.04,85.9,301000 4265500,1.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,24.6063,250000,6.31,84.6,301000 4265500,7.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4266000,POTOH,8.2021,250000,6.82,85.5,301000 4266000,2.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,11.48294,250000,6.59,85.1,301000 4266000,3.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,31.16798,250000,6.29,85.5,301000 4266000,9.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,27.88714,250000,6.23,85.1,301000 4266000,8.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,1.64042,250000,7.21,86.1,301000 4266000,0.5,Unsuitable,black,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,18.04462,250000,6.37,84.6,301000 4266000,5.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,21.32546,250000,6.34,84.6,301000 4266000,6.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,24.6063,250000,6.31,84.6,301000 4266000,7.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,4.92126,250000,7.05,85.8,301000 4266000,1.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,14.76378,250000,6.43,84.6,301000 4266000,4.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301500,4256000,POTOH,11.48294,250000,7,84.8,301500 4256000,3.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,1.64042,250000,7.98,85.3,301500 4256000,0.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,14.76378,250000,6.68,84.6,301500 4256000,4.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,8.2021,250000,7.36,85,301500 4256000,2.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,4.92126,250000,7.72,85.2,301500 4256000,1.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256500,POTOH,11.48294,250000,6.96,84.9,301500 4256500,3.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,14.76378,250000,6.67,84.6,301500 4256500,4.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,8.2021,250000,7.31,85,301500 4256500,2.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,1.64042,250000,7.92,85.3,301500 4256500,0.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,4.92126,250000,7.66,85.2,301500 4256500,1.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4257000,POTOH,14.76378,250000,6.65,84.6,301500 4257000,4.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,11.48294,250000,6.91,84.9,301500 4257000,3.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,18.04462,250000,6.48,84.4,301500 4257000,5.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,8.2021,250000,7.26,85,301500 4257000,2.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,1.64042,250000,7.85,85.4,301500 4257000,0.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,4.92126,250000,7.6,85.2,301500 4257000,1.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257500,POTOH,14.76378,250000,6.63,84.6,301500 4257500,4.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,1.64042,250000,7.78,85.4,301500 4257500,0.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,18.04462,250000,6.47,84.4,301500 4257500,5.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,8.2021,250000,7.21,85.1,301500 4257500,2.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,4.92126,250000,7.54,85.3,301500 4257500,1.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,11.48294,250000,6.87,84.9,301500 4257500,3.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4258000,POTOH,18.04462,250000,6.46,84.5,301500 4258000,5.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,14.76378,250000,6.62,84.6,301500 4258000,4.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,4.92126,250000,7.47,85.3,301500 4258000,1.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,1.64042,250000,7.7,85.5,301500 4258000,0.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,8.2021,250000,7.15,85.1,301500 4258000,2.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,11.48294,250000,6.82,84.9,301500 4258000,3.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258500,POTOH,4.92126,250000,7.41,85.4,301500 4258500,1.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,21.32546,250000,6.29,84.6,301500 4258500,6.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,8.2021,250000,7.1,85.1,301500 4258500,2.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,14.76378,250000,6.6,84.6,301500 4258500,4.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,11.48294,250000,6.77,85,301500 4258500,3.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,1.64042,250000,7.63,85.5,301500 4258500,0.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,18.04462,250000,6.45,84.5,301500 4258500,5.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4259000,POTOH,21.32546,250000,6.3,84.6,301500 4259000,6.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259000,POTOH,1.64042,250000,7.56,85.6,301500 4259000,0.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259000,POTOH,8.2021,250000,7.04,85.2,301500 4259000,2.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259000,POTOH,4.92126,250000,7.34,85.4,301500 4259000,1.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259000,POTOH,14.76378,250000,6.58,84.6,301500 4259000,4.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259000,POTOH,18.04462,250000,6.45,84.5,301500 4259000,5.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259000,POTOH,11.48294,250000,6.73,85,301500 4259000,3.5,Marginal,orange,YES,187.3433565,2646.419089,37.9036310000001
301500,4259500,POTOH,21.32546,250000,6.3,84.6,301500 4259500,6.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,1.64042,250000,7.49,85.7,301500 4259500,0.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,8.2021,250000,6.99,85.2,301500 4259500,2.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,11.48294,250000,6.69,85,301500 4259500,3.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,18.04462,250000,6.44,84.5,301500 4259500,5.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,14.76378,250000,6.56,84.6,301500 4259500,4.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,4.92126,250000,7.28,85.5,301500 4259500,1.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4259500,POTOH,24.6063,250000,6.27,84.6,301500 4259500,7.5,Marginal,orange,YES,187.3433565,2646.7297745,38.2143165000002
301500,4260000,POTOH,11.48294,250000,6.65,85.1,301500 4260000,3.5,Marginal,orange,YES,187.3433565,2647.04046,38.5250020000003
301500,4260000,POTOH,14.76378,250000,6.54,84.6,301500 4260000,4.5,Marginal,orange,YES,187.3433565,2647.04046,38.5250020000003
301500,4260000,POTOH,18.04462,250000,6.43,84.5,301500 4260000,5.5,Marginal,orange,YES,187.3433565,2647.04046,38.5250020000003
301500,4260000,POTOH,4.92126,250000,7.23,85.6,301500 4260000,1.5,Marginal,orange,YES,187.3433565,2647.04046,38.5250020000003
301500,4260000,POTOH,8.2021,250000,6.95,85.3,301500 4260000,2.5,Marginal,orange,YES,187.3433565,2647.04046,38.5250020000003
