"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2025-05-05,0.5,64.58,8.2,8.9,26900,16.5,NA,"1.6",64.58
"CB5.3",2025-05-05,1,64.4,8.1,8.9,26900,16.5,NA,NA,64.4
"CB5.3",2025-05-05,2,64.4,8.2,8.9,26900,16.5,NA,NA,64.4
"CB5.3",2025-05-05,3,64.4,8.1,8.8,26900,16.6,NA,NA,64.4
"CB5.3",2025-05-05,5,63.68,8.1,8.5,27400,16.9,NA,NA,63.68
"CB5.3",2025-05-05,7,63.68,8.1,8.3,27600,17,NA,NA,63.68
"CB5.3",2025-05-05,9,63.32,8,8.1,27700,17.1,NA,NA,63.32
"CB5.3",2025-05-05,10,63.32,8,8.1,27900,17.2,NA,NA,63.32
"CB5.3",2025-05-05,11,61.16,7.9,7.1,29300,18.2,NA,NA,61.16
"CB5.3",2025-05-05,12,60.26,7.9,6.9,29400,18.3,NA,NA,60.26
"CB5.3",2025-05-05,13,60.26,7.8,6.9,29600,18.4,NA,NA,60.26
"CB5.3",2025-05-05,14,60.08,7.8,6.8,30300,18.8,NA,NA,60.08
"CB5.3",2025-05-05,15,59.72,7.8,6.7,30500,18.9,NA,NA,59.72
"CB5.3",2025-05-05,17,59.72,7.8,6.7,30600,19.1,NA,NA,59.72
"CB5.3",2025-05-05,19,59.9,7.8,6.7,30700,19.2,NA,NA,59.9
"CB5.3",2025-05-05,21,59.9,7.8,6.7,30900,19.3,NA,NA,59.9
"CB5.3",2025-05-05,23,60.44,7.8,6.9,31000,19.3,NA,NA,60.44
"CB5.3",2025-05-05,25,60.62,7.8,7,31700,19.8,NA,NA,60.62
"LE2.3",2025-05-05,0.5,65.3,8.2,9,25400,15.5,NA,"2",65.3
"LE2.3",2025-05-05,1,65.3,8.2,9,25400,15.5,NA,NA,65.3
"LE2.3",2025-05-05,2,65.12,8.2,9,25400,15.5,NA,NA,65.12
"LE2.3",2025-05-05,3,65.12,8.2,9,25400,15.5,NA,NA,65.12
"LE2.3",2025-05-05,4,65.12,8.2,8.9,25400,15.5,NA,NA,65.12
"LE2.3",2025-05-05,5,62.96,8,8.3,26600,16.4,NA,NA,62.96
"LE2.3",2025-05-05,6,62.78,8,8,26600,16.4,NA,NA,62.78
"LE2.3",2025-05-05,7,61.88,8,7.5,26900,16.5,NA,NA,61.88
"LE2.3",2025-05-05,9,60.44,7.9,7.2,27100,16.7,NA,NA,60.44
"LE2.3",2025-05-05,11,60.26,7.9,7.2,27200,16.7,NA,NA,60.26
"LE2.3",2025-05-05,12,60.26,7.9,7.2,27200,16.7,NA,NA,60.26
"LE2.3",2025-05-05,13,60.26,7.9,7.2,27300,16.8,NA,NA,60.26
"LE2.3",2025-05-05,15,60.26,7.8,6.9,27600,17,NA,NA,60.26
"LE2.3",2025-05-05,17,60.08,7.8,6.9,27700,17.1,NA,NA,60.08
"LE2.3",2025-05-05,18,60.08,7.8,6.9,27700,17.1,NA,NA,60.08
"CB5.2",2025-05-05,0.5,64.76,8.3,9.5,25600,15.7,NA,"1.8",64.76
"CB5.2",2025-05-05,1,64.76,8.3,9.5,25600,15.7,NA,NA,64.76
"CB5.2",2025-05-05,2,64.76,8.3,9.5,25600,15.7,NA,NA,64.76
"CB5.2",2025-05-05,3,64.76,8.3,9.4,25600,15.7,NA,NA,64.76
"CB5.2",2025-05-05,4,64.76,8.3,9.4,25600,15.7,NA,NA,64.76
"CB5.2",2025-05-05,5,64.4,8.3,9.4,25600,15.7,NA,NA,64.4
"CB5.2",2025-05-05,7,64.22,8.2,9.2,25700,15.8,NA,NA,64.22
"CB5.2",2025-05-05,8,64.22,8.2,9,25700,15.8,NA,NA,64.22
"CB5.2",2025-05-05,9,63.5,8.1,7.9,26400,16.2,NA,NA,63.5
"CB5.2",2025-05-05,10,62.6,8,7.4,26900,16.6,NA,NA,62.6
"CB5.2",2025-05-05,11,60.44,7.8,6.6,27000,16.6,NA,NA,60.44
"CB5.2",2025-05-05,12,59.54,7.7,6.3,27000,16.6,NA,NA,59.54
"CB5.2",2025-05-05,13,59.54,7.7,6.3,27400,16.9,NA,NA,59.54
"CB5.2",2025-05-05,14,58.46,7.6,5.7,28200,17.4,NA,NA,58.46
"CB5.2",2025-05-05,15,58.1,7.6,5.6,28200,17.4,NA,NA,58.1
"CB5.2",2025-05-05,16,57.74,7.5,5.4,28500,17.5,NA,NA,57.74
"CB5.2",2025-05-05,17,56.48,7.5,5.1,29800,18.5,NA,NA,56.48
"CB5.2",2025-05-05,18,56.3,7.5,4.9,30100,18.7,NA,NA,56.3
"CB5.2",2025-05-05,19,56.3,7.5,4.9,30100,18.7,NA,NA,56.3
"CB5.2",2025-05-05,20,56.3,7.5,4.9,30600,19,NA,NA,56.3
"CB5.2",2025-05-05,21,56.3,7.5,5,30900,19.2,NA,NA,56.3
"CB5.2",2025-05-05,23,56.12,7.5,5,31000,19.3,NA,NA,56.12
"CB5.2",2025-05-05,25,56.3,7.5,5,31400,19.6,NA,NA,56.3
"CB5.2",2025-05-05,27,56.48,7.5,5.1,31600,19.7,NA,NA,56.48
"CB5.2",2025-05-05,29,56.48,7.5,5.1,31900,19.9,NA,NA,56.48
"CB5.1",2025-05-05,0.5,66.74,8.2,9,25200,15.4,NA,"1.6",66.74
"CB5.1",2025-05-05,1,66.74,8.2,9,25200,15.4,NA,NA,66.74
"CB5.1",2025-05-05,2,66.74,8.2,9,25200,15.4,NA,NA,66.74
"CB5.1",2025-05-05,3,66.74,8.2,8.9,25200,15.4,NA,NA,66.74
"CB5.1",2025-05-05,5,66.74,8.2,8.9,25200,15.4,NA,NA,66.74
"CB5.1",2025-05-05,7,66.74,8.2,8.9,25200,15.4,NA,NA,66.74
"CB5.1",2025-05-05,9,66.74,8.2,8.9,25300,15.4,NA,NA,66.74
"CB5.1",2025-05-05,11,66.2,8.2,8.8,25300,15.4,NA,NA,66.2
"CB5.1",2025-05-05,12,65.48,8.2,8.7,25200,15.4,NA,NA,65.48
"CB5.1",2025-05-05,13,62.42,8,7.6,25800,15.8,NA,NA,62.42
"CB5.1",2025-05-05,15,59.9,7.7,6.4,26200,16.1,NA,NA,59.9
"CB5.1",2025-05-05,17,58.82,7.6,6,26700,16.4,NA,NA,58.82
"CB5.1",2025-05-05,18,58.46,7.6,5.6,26800,16.5,NA,NA,58.46
"CB5.1",2025-05-05,19,58.28,7.6,5.5,27200,16.7,NA,NA,58.28
"CB5.1",2025-05-05,20,58.1,7.6,4.5,27200,16.7,NA,NA,58.1
"CB5.1",2025-05-05,21,56.48,7.4,4.5,29100,18,NA,NA,56.48
"CB5.1",2025-05-05,23,55.94,7.5,4.5,29700,18.4,NA,NA,55.94
"CB5.1",2025-05-05,25,55.94,7.5,4.5,30200,18.7,NA,NA,55.94
"CB5.1",2025-05-05,27,55.76,7.5,4.7,30900,19.2,NA,NA,55.76
"CB5.1",2025-05-05,29,55.94,7.5,4.7,31000,19.3,NA,NA,55.94
"CB5.1",2025-05-05,31,55.94,7.5,4.8,31400,19.6,NA,NA,55.94
"CB5.1",2025-05-05,33,55.94,7.5,4.8,31600,19.7,NA,NA,55.94
"CB4.4",2025-05-05,0.5,65.66,8.3,9.5,24600,15,NA,"1.8",65.66
"CB4.4",2025-05-05,1,65.48,8.3,9.5,24600,15,NA,NA,65.48
"CB4.4",2025-05-05,2,65.48,8.3,9.4,24600,15,NA,NA,65.48
"CB4.4",2025-05-05,3,65.48,8.3,9.4,24600,15,NA,NA,65.48
"CB4.4",2025-05-05,5,65.3,8.2,9.4,24600,15,NA,NA,65.3
"CB4.4",2025-05-05,7,64.94,8.2,9.3,24600,15,NA,NA,64.94
"CB4.4",2025-05-05,9,64.58,8.2,9.1,24500,15,NA,NA,64.58
"CB4.4",2025-05-05,11,63.14,8.1,8.5,24700,15.1,NA,NA,63.14
"CB4.4",2025-05-05,13,62.24,8,8,24900,15.2,NA,NA,62.24
"CB4.4",2025-05-05,14,60.8,7.8,7,25400,15.5,NA,NA,60.8
"CB4.4",2025-05-05,15,59.54,7.6,6.2,25700,15.7,NA,NA,59.54
"CB4.4",2025-05-05,16,58.82,7.6,5.8,25700,15.7,NA,NA,58.82
