"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI"
"CB5.3",2025-06-30,0.5,28.7,8.4,8.1,19400,11.4,NA,"1.7"
"CB5.3",2025-06-30,1,28.7,8.4,8.1,19300,11.4,NA,NA
"CB5.3",2025-06-30,2,28.7,8.4,8,18500,11.5,NA,NA
"CB5.3",2025-06-30,3,28.6,8.3,7.7,20600,12.2,NA,NA
"CB5.3",2025-06-30,4,28.6,8.3,7.4,20800,12.4,NA,NA
"CB5.3",2025-06-30,5,27.8,8.2,6.2,21400,12.8,NA,NA
"CB5.3",2025-06-30,6,27.4,8.1,5.4,22400,13.5,NA,NA
"CB5.3",2025-06-30,7,26.2,7.8,3.9,24400,14.8,NA,NA
"CB5.3",2025-06-30,8,25.9,7.7,3.4,25700,15.6,NA,NA
"CB5.3",2025-06-30,9,25.8,7.7,3.3,25800,15.7,NA,NA
"CB5.3",2025-06-30,10,24.5,7.6,2.4,28600,17.6,NA,NA
"CB5.3",2025-06-30,11,24.3,7.6,2.4,31100,19.3,NA,NA
"CB5.3",2025-06-30,12,24.3,7.6,2.4,31200,19.4,NA,NA
"CB5.3",2025-06-30,13,24.2,7.6,2.4,31200,19.4,NA,NA
"CB5.3",2025-06-30,15,24.2,7.6,2.4,31200,19.4,NA,NA
"CB5.3",2025-06-30,17,24.2,7.6,2.4,31200,19.4,NA,NA
"CB5.3",2025-06-30,19,24.3,7.6,2.5,31300,19.5,NA,NA
"CB5.3",2025-06-30,21,24.3,7.6,2.5,31300,19.5,NA,NA
"CB5.3",2025-06-30,23,24.3,7.6,2.6,31400,19.5,NA,NA
"CB5.3",2025-06-30,24,24.3,7.6,2.6,31400,19.5,NA,NA
"LE2.3",2025-06-30,0.5,28.6,8.4,8,19100,11.3,NA,"1.6"
"LE2.3",2025-06-30,1,28.4,8.4,7.9,19100,11.3,NA,NA
"LE2.3",2025-06-30,2,28.4,8.4,7.9,19200,11.3,NA,NA
"LE2.3",2025-06-30,3,28.2,8.4,7.5,19600,11.6,NA,NA
"LE2.3",2025-06-30,4,28,8.4,7.5,19800,11.8,NA,NA
"LE2.3",2025-06-30,5,28,8.4,7.5,19900,11.8,NA,NA
"LE2.3",2025-06-30,6,27.8,8.3,7.1,20300,12.1,NA,NA
"LE2.3",2025-06-30,7,27.4,8.2,6.2,21000,12.5,NA,NA
