"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempC"
"CB5.3",2026-08-24,0.5,81.86,8.1,7.1,28400,17.4,NA,"2","MDmain",27.7
"CB5.3",2026-08-24,1,81.86,8.1,7.1,28400,17.4,NA,NA,"MDmain",27.7
"CB5.3",2026-08-24,2,81.5,8.1,7,28600,17.6,NA,NA,"MDmain",27.5
"CB5.3",2026-08-24,3,81.5,8.1,7,28800,17.7,NA,NA,"MDmain",27.5
"CB5.3",2026-08-24,4,81.5,8.1,6.7,29000,17.9,NA,NA,"MDmain",27.5
"CB5.3",2026-08-24,5,81.5,8.1,6.3,29300,18.1,NA,NA,"MDmain",27.5
"CB5.3",2026-08-24,6,81.5,8,6.1,29600,18.2,NA,NA,"MDmain",27.5
"CB5.3",2026-08-24,7,81.86,8,5.8,29800,18.4,NA,NA,"MDmain",27.7
"CB5.3",2026-08-24,8,82.04,8,5.3,30400,18.8,NA,NA,"MDmain",27.8
"CB5.3",2026-08-24,9,82.04,7.9,4.8,31100,19.2,NA,NA,"MDmain",27.8
"CB5.3",2026-08-24,10,82.22,7.9,3.9,32000,19.9,NA,NA,"MDmain",27.9
"CB5.3",2026-08-24,11,82.04,7.8,3.9,32800,20.5,NA,NA,"MDmain",27.8
"CB5.3",2026-08-24,12,82.04,7.8,2.9,35100,22,NA,NA,"MDmain",27.8
"CB5.3",2026-08-24,13,81.32,7.7,2.3,37800,23.9,NA,NA,"MDmain",27.4
"CB5.3",2026-08-24,14,81.32,7.7,2.2,38300,24.3,NA,NA,"MDmain",27.4
"CB5.3",2026-08-24,15,81.14,7.7,2.2,38800,24.6,NA,NA,"MDmain",27.3
"CB5.3",2026-08-24,16,81.14,7.7,2.2,38900,24.7,NA,NA,"MDmain",27.3
"CB5.3",2026-08-24,17,80.78,7.7,2.4,39700,25.3,NA,NA,"MDmain",27.1
"CB5.3",2026-08-24,19,80.78,7.7,2.3,39900,25.4,NA,NA,"MDmain",27.1
"CB5.3",2026-08-24,21,80.78,7.7,2.4,39900,25.4,NA,NA,"MDmain",27.1
"CB5.3",2026-08-24,23,80.78,7.7,2.4,40000,25.4,NA,NA,"MDmain",27.1
"CB5.3",2026-08-24,25,80.78,7.7,2.3,40000,25.5,NA,NA,"MDmain",27.1
"LE2.3",2026-08-24,0.5,82.22,8.1,6.9,27700,17,NA,"2.2","MDmain",27.9
"LE2.3",2026-08-24,1,82.22,8.1,6.8,27700,17,NA,NA,"MDmain",27.9
"LE2.3",2026-08-24,2,82.22,8.1,6.8,27700,17,NA,NA,"MDmain",27.9
"LE2.3",2026-08-24,3,82.22,8.1,6.7,27800,17,NA,NA,"MDmain",27.9
"LE2.3",2026-08-24,4,82.22,8.1,6.7,27800,17,NA,NA,"MDmain",27.9
"LE2.3",2026-08-24,5,82.04,8.1,6.7,27800,17,NA,NA,"MDmain",27.8
"LE2.3",2026-08-24,6,82.04,8.1,6.7,27800,17,NA,NA,"MDmain",27.8
"LE2.3",2026-08-24,7,82.04,8,6.7,27800,17.1,NA,NA,"MDmain",27.8
"LE2.3",2026-08-24,8,81.86,8,6.6,27900,17.1,NA,NA,"MDmain",27.7
"LE2.3",2026-08-24,9,81.86,8,6.5,27900,17.1,NA,NA,"MDmain",27.7
"LE2.3",2026-08-24,10,81.86,8,6.3,27900,17.1,NA,NA,"MDmain",27.7
"LE2.3",2026-08-24,11,81.86,7.9,5,28500,17.5,NA,NA,"MDmain",27.7
"LE2.3",2026-08-24,12,81.86,7.9,4.7,28600,17.6,NA,NA,"MDmain",27.7
"LE2.3",2026-08-24,13,81.86,7.8,4.7,28700,17.6,NA,NA,"MDmain",27.7
"LE2.3",2026-08-24,14,82.04,7.8,4.3,28700,17.7,NA,NA,"MDmain",27.8
"LE2.3",2026-08-24,15,82.04,7.6,2.1,29700,18.3,NA,NA,"MDmain",27.8
"LE2.3",2026-08-24,16,82.04,7.5,1.6,31300,19.4,NA,NA,"MDmain",27.8
"LE2.3",2026-08-24,17,82.22,7.5,1.4,32100,19.9,NA,NA,"MDmain",27.9
"CB5.2",2026-08-24,0.5,81.68,8.1,7.4,28100,17.2,NA,"2.2","MDmain",27.6
"CB5.2",2026-08-24,1,81.68,8.1,7.4,28200,17.3,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,2,81.68,8.1,7.4,28200,17.3,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,3,81.68,8.1,7.4,28300,17.3,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,4,81.5,8.1,7.3,28300,17.3,NA,NA,"MDmain",27.5
"CB5.2",2026-08-24,5,81.32,8.1,7,28300,17.4,NA,NA,"MDmain",27.4
"CB5.2",2026-08-24,6,81.5,8,6.3,28500,17.5,NA,NA,"MDmain",27.5
"CB5.2",2026-08-24,7,81.68,7.9,4.8,29800,18.4,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,8,81.68,7.9,4.8,30000,18.5,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,9,81.68,7.9,4.8,30000,18.5,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,10,81.68,7.9,4.5,30200,18.7,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,11,82.04,7.8,3.5,30900,19.2,NA,NA,"MDmain",27.8
"CB5.2",2026-08-24,12,82.22,7.8,2.9,31700,19.7,NA,NA,"MDmain",27.9
"CB5.2",2026-08-24,13,82.22,7.8,2.8,31700,19.7,NA,NA,"MDmain",27.9
"CB5.2",2026-08-24,14,82.4,7.7,2.2,32500,20.2,NA,NA,"MDmain",28
"CB5.2",2026-08-24,15,82.22,7.7,2.3,34000,21.2,NA,NA,"MDmain",27.9
"CB5.2",2026-08-24,16,82.04,7.7,2,35100,22,NA,NA,"MDmain",27.8
"CB5.2",2026-08-24,17,81.86,7.7,1.8,36100,22.7,NA,NA,"MDmain",27.7
"CB5.2",2026-08-24,18,81.68,7.6,1.5,37200,23.5,NA,NA,"MDmain",27.6
"CB5.2",2026-08-24,19,81.5,7.6,1.5,37400,23.6,NA,NA,"MDmain",27.5
"CB5.2",2026-08-24,21,81.5,7.7,1.6,37700,23.8,NA,NA,"MDmain",27.5
"CB5.2",2026-08-24,23,81.32,7.7,1.6,38300,24.3,NA,NA,"MDmain",27.4
"CB5.2",2026-08-24,25,81.14,7.7,1.6,38700,24.5,NA,NA,"MDmain",27.3
"CB5.2",2026-08-24,27,81.14,7.7,1.6,38900,24.7,NA,NA,"MDmain",27.3
"CB5.2",2026-08-24,29,81.14,7.7,1.7,39100,24.8,NA,NA,"MDmain",27.3
"CB5.2",2026-08-24,30,81.14,7.7,1.7,39100,24.8,NA,NA,"MDmain",27.3
"CB5.1",2026-08-24,0.5,82.04,8.1,7.4,26500,16.2,NA,"2.3","MDmain",27.8
"CB5.1",2026-08-24,1,82.22,8.1,7.4,26500,16.2,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,2,81.86,8.1,7.2,26500,16.2,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,3,81.86,8,6.3,27000,16.5,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,4,81.86,7.8,4.7,27600,16.9,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,5,81.86,7.8,4.6,27900,17.1,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,6,81.86,7.8,4.6,28000,17.1,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,7,81.86,7.8,4.1,28300,17.4,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,8,81.86,7.7,3.6,28600,17.5,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,9,81.86,7.7,3.4,29600,18.3,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,10,82.04,7.7,2.6,30000,18.5,NA,NA,"MDmain",27.8
"CB5.1",2026-08-24,11,82.22,7.6,1.8,31800,18.3,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,12,82.22,7.6,1.6,32100,19.9,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,13,82.22,7.6,1.1,33300,20.8,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,14,82.22,7.6,1.1,33700,21,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,15,82.22,7.6,1.1,34600,21.7,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,16,82.22,7.6,1.2,35200,22.1,NA,NA,"MDmain",27.9
"CB5.1",2026-08-24,17,82.04,7.6,1.3,35500,22.3,NA,NA,"MDmain",27.8
"CB5.1",2026-08-24,19,82.04,7.6,1.3,36000,22.6,NA,NA,"MDmain",27.8
"CB5.1",2026-08-24,21,81.86,7.6,1.3,36200,22.8,NA,NA,"MDmain",27.7
"CB5.1",2026-08-24,23,81.86,7.6,1.3,36700,23.1,NA,NA,"MDmain",27.7
