"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2025-06-11,0.5,74.48,8.4,9.6,20300,12.1,NA,"1.8",74.48
"CB5.3",2025-06-11,1,74.48,8.4,9.7,20200,12.1,NA,NA,74.48
"CB5.3",2025-06-11,2,73.94,8.4,9.6,20200,12.1,NA,NA,73.94
"CB5.3",2025-06-11,3,73.04,8.3,9.3,20300,12.2,NA,NA,73.04
"CB5.3",2025-06-11,4,71.78,8.2,8.3,20900,12.5,NA,NA,71.78
"CB5.3",2025-06-11,5,70.7,8,7.1,21700,13.1,NA,NA,70.7
"CB5.3",2025-06-11,6,70.52,7.9,6.7,23300,14.1,NA,NA,70.52
"CB5.3",2025-06-11,7,69.98,7.8,6.2,23700,14.4,NA,NA,69.98
"CB5.3",2025-06-11,8,69.62,7.8,5.9,23900,14.5,NA,NA,69.62
"CB5.3",2025-06-11,9,69.8,7.8,6,24000,14.6,NA,NA,69.8
"CB5.3",2025-06-11,10,69.62,7.8,5.8,24100,14.6,NA,NA,69.62
"CB5.3",2025-06-11,11,69.44,7.7,5.6,24300,14.8,NA,NA,69.44
"CB5.3",2025-06-11,12,68,7.5,3.8,26400,16.2,NA,NA,68
"CB5.3",2025-06-11,13,68,7.5,3.8,26300,16.1,NA,NA,68
"CB5.3",2025-06-11,14,68.36,7.7,4.7,29900,18.6,NA,NA,68.36
"CB5.3",2025-06-11,15,68.36,7.7,4.8,30100,18.7,NA,NA,68.36
"CB5.3",2025-06-11,16,68.36,7.7,4.8,30200,18.8,NA,NA,68.36
"CB5.3",2025-06-11,17,68.36,7.7,4.7,30400,18.9,NA,NA,68.36
"CB5.3",2025-06-11,19,68.18,7.7,4.6,31300,19.5,NA,NA,68.18
"CB5.3",2025-06-11,21,68,7.6,4.4,31600,19.7,NA,NA,68
"CB5.3",2025-06-11,23,68,7.6,4.4,31700,19.8,NA,NA,68
"LE2.3",2025-06-11,0.5,74.66,8.4,8.9,17500,10.3,NA,"1.4",74.66
"LE2.3",2025-06-11,1,74.48,8.4,8.9,17500,10.3,NA,NA,74.48
"LE2.3",2025-06-11,2,73.76,8.4,8.9,17700,10.4,NA,NA,73.76
"LE2.3",2025-06-11,3,73.58,8.3,8.7,17900,10.6,NA,NA,73.58
"LE2.3",2025-06-11,4,73.22,8.2,8.3,19000,11.3,NA,NA,73.22
"LE2.3",2025-06-11,5,70.7,8,7,20600,12.3,NA,NA,70.7
"LE2.3",2025-06-11,6,69.08,7.6,5,21300,12.8,NA,NA,69.08
"LE2.3",2025-06-11,7,68,7.5,4.4,22200,13.5,NA,NA,68
"LE2.3",2025-06-11,8,67.82,7.5,4,22600,13.7,NA,NA,67.82
"LE2.3",2025-06-11,9,68.18,7.5,4.1,23100,14,NA,NA,68.18
"LE2.3",2025-06-11,10,68.54,7.5,4.3,23500,14.3,NA,NA,68.54
"LE2.3",2025-06-11,11,68,7.5,3.7,25000,15.2,NA,NA,68
"LE2.3",2025-06-11,12,68.18,7.6,4.4,25300,15.5,NA,NA,68.18
"LE2.3",2025-06-11,13,67.82,7.4,2.7,26200,16.1,NA,NA,67.82
"LE2.3",2025-06-11,14,67.82,7.3,2,27700,17.1,NA,NA,67.82
"LE2.3",2025-06-11,15,67.64,7.3,2,28900,17.9,NA,NA,67.64
"LE2.3",2025-06-11,17,67.82,7.4,2.2,29200,18.1,NA,NA,67.82
"CB5.2",2025-06-11,0.5,74.48,8.3,9.7,20300,12.1,NA,"2.2",74.48
"CB5.2",2025-06-11,1,74.3,8.4,9.7,20300,12.1,NA,NA,74.3
"CB5.2",2025-06-11,2,73.94,8.3,9.7,20300,12.1,NA,NA,73.94
"CB5.2",2025-06-11,3,73.4,8.3,9.7,20400,12.2,NA,NA,73.4
"CB5.2",2025-06-11,4,73.22,8.3,9.6,20400,12.2,NA,NA,73.22
"CB5.2",2025-06-11,5,72.86,8.3,9.4,20500,12.2,NA,NA,72.86
"CB5.2",2025-06-11,6,72.14,8.2,8.8,20800,12.4,NA,NA,72.14
"CB5.2",2025-06-11,7,70.34,8,7.1,22200,13.4,NA,NA,70.34
"CB5.2",2025-06-11,8,69.44,7.7,5.3,24300,14.8,NA,NA,69.44
"CB5.2",2025-06-11,9,68.54,7.6,4.6,25400,15.5,NA,NA,68.54
"CB5.2",2025-06-11,10,68.36,7.6,4.4,26800,16.5,NA,NA,68.36
"CB5.2",2025-06-11,11,68.18,7.6,4,28700,17.8,NA,NA,68.18
"CB5.2",2025-06-11,12,68.18,7.6,4,29400,18.2,NA,NA,68.18
"CB5.2",2025-06-11,13,68.18,7.6,4.1,29600,18.4,NA,NA,68.18
"CB5.2",2025-06-11,14,68.18,7.6,4.1,29900,18.6,NA,NA,68.18
"CB5.2",2025-06-11,15,68.18,7.6,4.4,30200,18.8,NA,NA,68.18
"CB5.2",2025-06-11,16,68,7.6,4.2,30900,19.2,NA,NA,68
"CB5.2",2025-06-11,17,68,7.6,4.2,31000,19.3,NA,NA,68
"CB5.2",2025-06-11,19,68,7.6,4.2,31100,19.4,NA,NA,68
"CB5.2",2025-06-11,21,68,7.6,4.1,31100,19.4,NA,NA,68
"CB5.2",2025-06-11,23,67.82,7.6,3.8,31400,19.6,NA,NA,67.82
"CB5.2",2025-06-11,25,67.82,7.6,3.8,31400,19.6,NA,NA,67.82
"CB5.2",2025-06-11,26,67.82,7.6,3.6,31400,19.6,NA,NA,67.82
"CB5.2",2025-06-11,27,67.82,7.6,3.8,31400,19.6,NA,NA,67.82
"CB5.2",2025-06-11,28,67.46,7.5,2.8,32100,20.1,NA,NA,67.46
"CB5.2",2025-06-11,29,67.46,7.5,2.6,32200,20.2,NA,NA,67.46
"CB5.1",2025-06-10,0.5,73.04,8.3,9.6,19700,11.7,NA,"1.8",73.04
"CB5.1",2025-06-10,1,73.04,8.3,9.6,19700,11.7,NA,NA,73.04
"CB5.1",2025-06-10,2,72.86,8.3,9.6,19700,11.7,NA,NA,72.86
"CB5.1",2025-06-10,3,72.86,8.3,9.6,19700,11.7,NA,NA,72.86
"CB5.1",2025-06-10,5,72.86,8.3,9.5,19700,11.7,NA,NA,72.86
"CB5.1",2025-06-10,7,72.86,8.3,9.5,19700,11.7,NA,NA,72.86
"CB5.1",2025-06-10,8,72.86,8.3,9.4,19700,11.7,NA,NA,72.86
"CB5.1",2025-06-10,9,72.68,8.3,9.1,19700,11.8,NA,NA,72.68
"CB5.1",2025-06-10,10,70.52,7.8,6.1,23200,14.1,NA,NA,70.52
"CB5.1",2025-06-10,11,68.54,7.6,4.7,24600,15.1,NA,NA,68.54
"CB5.1",2025-06-10,12,68.18,7.5,4.1,25800,15.8,NA,NA,68.18
"CB5.1",2025-06-10,13,67.82,7.5,3.4,26700,16.4,NA,NA,67.82
"CB5.1",2025-06-10,14,67.82,7.5,3.4,27900,17.2,NA,NA,67.82
"CB5.1",2025-06-10,15,67.64,7.5,3.4,29200,18.1,NA,NA,67.64
"CB5.1",2025-06-10,16,67.64,7.5,3.3,29700,18.5,NA,NA,67.64
"CB5.1",2025-06-10,17,67.64,7.5,3.2,30600,19,NA,NA,67.64
"CB5.1",2025-06-10,18,67.64,7.5,3.2,30700,19.1,NA,NA,67.64
"CB5.1",2025-06-10,19,67.64,7.5,3.4,31200,19.4,NA,NA,67.64
"CB5.1",2025-06-10,21,67.64,7.5,3.5,31200,19.5,NA,NA,67.64
"CB5.1",2025-06-10,23,67.64,7.5,3.5,31200,19.5,NA,NA,67.64
"CB5.1",2025-06-10,25,67.64,7.5,3.3,31700,19.8,NA,NA,67.64
"CB5.1",2025-06-10,27,67.64,7.5,3.2,31700,19.8,NA,NA,67.64
"CB5.1",2025-06-10,29,67.46,7.5,3.1,32000,20,NA,NA,67.46
"CB5.1",2025-06-10,31,67.46,7.5,2.9,32200,20.1,NA,NA,67.46
"CB5.1",2025-06-10,32,67.46,7.5,2.9,32300,20.2,NA,NA,67.46
"CB4.4",2025-06-10,0.5,72.5,8.3,9.8,19400,11.5,NA,"1.8",72.5
"CB4.4",2025-06-10,1,72.5,8.4,9.8,19300,11.5,NA,NA,72.5
"CB4.4",2025-06-10,2,72.5,8.3,9.7,19300,11.5,NA,NA,72.5
"CB4.4",2025-06-10,3,72.32,8.3,9.7,19300,11.5,NA,NA,72.32
"CB4.4",2025-06-10,5,72.32,8.3,9.6,19400,11.5,NA,NA,72.32
"CB4.4",2025-06-10,7,72.32,8.3,9.3,19500,11.6,NA,NA,72.32
"CB4.4",2025-06-10,8,72.14,8.2,8.8,19800,11.8,NA,NA,72.14
"CB4.4",2025-06-10,9,71.96,8.2,8.3,20000,11.9,NA,NA,71.96
"CB4.4",2025-06-10,10,69.98,7.8,6.4,21500,12.9,NA,NA,69.98
"CB4.4",2025-06-10,11,68,7.4,2.9,24100,14.6,NA,NA,68
"CB4.4",2025-06-10,12,68,7.4,2.9,26500,16.3,NA,NA,68
"CB4.4",2025-06-10,13,67.64,7.4,2.7,28200,17.4,NA,NA,67.64
"CB4.4",2025-06-10,14,67.64,7.4,2.5,28300,17.5,NA,NA,67.64
"CB4.4",2025-06-10,15,67.64,7.4,2.4,29400,18.2,NA,NA,67.64
"CB4.4",2025-06-10,16,67.64,7.4,2.5,29800,18.5,NA,NA,67.64
"CB4.4",2025-06-10,17,67.64,7.4,2.4,30300,18.9,NA,NA,67.64
"CB4.4",2025-06-10,18,67.64,7.4,2.3,30300,18.9,NA,NA,67.64
"CB4.4",2025-06-10,19,67.46,7.4,1.9,30800,19.2,NA,NA,67.46
"CB4.4",2025-06-10,21,67.64,7.4,2.5,31000,19.3,NA,NA,67.64
"CB4.4",2025-06-10,23,67.46,7.4,2.6,31100,19.4,NA,NA,67.46
"CB4.4",2025-06-10,25,67.46,7.4,2.4,31900,19.9,NA,NA,67.46
"CB4.4",2025-06-10,27,67.46,7.4,2.4,32000,20,NA,NA,67.46
"CB4.4",2025-06-10,28,67.46,7.4,2.4,32000,20,NA,NA,67.46
"CB4.3E",2025-06-10,0.5,73.58,8.5,10.8,18200,10.8,NA,"1.8",73.58
"CB4.3E",2025-06-10,1,73.58,8.5,10.5,18700,11.1,NA,NA,73.58
"CB4.3E",2025-06-10,2,73.22,8.3,9.4,19000,11.3,NA,NA,73.22
"CB4.3E",2025-06-10,3,73.22,8.3,9.1,19000,11.3,NA,NA,73.22
"CB4.3E",2025-06-10,4,73.04,8.2,9,19000,11.3,NA,NA,73.04
"CB4.3E",2025-06-10,5,72.68,8.2,8.8,19100,11.4,NA,NA,72.68
"CB4.3E",2025-06-10,6,72.68,8.2,8.8,19100,11.4,NA,NA,72.68
"CB4.3E",2025-06-10,7,72.14,8.2,8.5,19400,11.6,NA,NA,72.14
"CB4.3E",2025-06-10,8,71.96,8.2,8.3,19500,11.6,NA,NA,71.96
"CB4.3E",2025-06-10,9,71.06,8,7.2,19900,11.8,NA,NA,71.06
"CB4.3E",2025-06-10,10,70.16,7.8,6.1,20500,12.3,NA,NA,70.16
