year,Habitat,volume,percent
2015,Marginal,0.11375,5.05
2015,Suitable,1.39352,61.91
2015,Tolerable,0.21523,9.56
2015,Unsuitable,0.5283,23.47
2016,Marginal,0.1693,7.52
2016,Suitable,1.25907,55.94
2016,Tolerable,0.21293,9.46
2016,Unsuitable,0.6095,27.08
2017,Marginal,0.112,4.98
2017,Suitable,1.10573,49.13
2017,Tolerable,0.34402,15.28
2017,Unsuitable,0.68905,30.61
2018,Marginal,0.19814,8.8
2018,Suitable,1.3515,60.05
2018,Tolerable,0.20875,9.27
2018,Unsuitable,0.49241,21.88
2019,Marginal,0.23243,10.33
2019,Suitable,0.57151,25.39
2019,Tolerable,0.51644,22.94
2019,Unsuitable,0.93042,41.34
2020,Marginal,0.20612,9.16
2020,Suitable,0.89267,39.66
2020,Tolerable,0.34896,15.5
2020,Unsuitable,0.80305,35.68
2021,Marginal,0.262,11.64
2021,Suitable,1.18088,52.46
2021,Tolerable,0.33562,14.91
2021,Unsuitable,0.4723,20.98
2022,Marginal,0.11089,4.93
2022,Suitable,1.66125,73.81
2022,Tolerable,0.1175,5.22
2022,Unsuitable,0.36116,16.05
2023,Marginal,0.24975,11.1
2023,Suitable,1.04187,46.29
2023,Tolerable,0.28001,12.44
2023,Unsuitable,0.67917,30.17
2024,Marginal,0.42812,19.11
2024,Suitable,0.44631,19.92
2024,Tolerable,0.78007,34.81
2024,Unsuitable,0.5863,26.16
2025,Marginal,0.20381,9.1
2025,Suitable,0.58642,26.17
2025,Tolerable,0.54865,24.48
2025,Unsuitable,0.90192,40.25
