year,Habitat,volume,percent
2015,Marginal,0.427115,6.43
2015,Suitable,4.638,69.8
2015,Tolerable,0.5829975,8.77
2015,Unsuitable,0.9961825,14.99
2016,Marginal,0.4182075,6.29
2016,Suitable,3.925945,59.08
2016,Tolerable,1.0752775,16.18
2016,Unsuitable,1.2252375,18.44
2017,Marginal,0.8766925,13.17
2017,Suitable,2.943955,44.23
2017,Tolerable,1.7484475,26.27
2017,Unsuitable,1.0873225,16.33
2018,Marginal,0.3520225,5.29
2018,Suitable,4.43336,66.61
2018,Tolerable,0.9325375,14.01
2018,Unsuitable,0.9377575,14.09
2019,Marginal,1.311375,19.71
2019,Suitable,1.5873975,23.86
2019,Tolerable,1.8362775,27.6
2019,Unsuitable,1.91756,28.82
2020,Marginal,0.9571625,14.38
2020,Suitable,2.211465,33.22
2020,Tolerable,2.0053525,30.12
2020,Unsuitable,1.48306,22.28
2021,Marginal,0.923345,13.88
2021,Suitable,3.696315,55.55
2021,Tolerable,1.1331675,17.03
2021,Unsuitable,0.9011525,13.54
2022,Marginal,0.2794375,4.2
2022,Suitable,5.18688,77.97
2022,Tolerable,0.6406125,9.63
2022,Unsuitable,0.54505,8.19
2023,Marginal,0.670985,10.08
2023,Suitable,2.8653975,43.05
2023,Tolerable,1.8039425,27.1
2023,Unsuitable,1.3151675,19.76
2024,Marginal,1.601015,28.08
2024,Suitable,0.5444575,9.55
2024,Tolerable,1.936265,33.96
2024,Unsuitable,1.6206225,28.42
2025,Marginal,1.4261725,25.01
2025,Suitable,0.8688825,15.23
2025,Tolerable,1.8681425,32.75
2025,Unsuitable,1.5402825,27.01
