year,Habitat,volume,percent
2015,Marginal,0.0468,2.08
2015,Suitable,1.38163,61.38
2015,Tolerable,0.30387,13.5
2015,Unsuitable,0.5185,23.04
2016,Marginal,0.14911,6.62
2016,Suitable,0.64912,28.84
2016,Tolerable,0.8859,39.36
2016,Unsuitable,0.56667,25.18
2017,Marginal,0.0705,3.13
2017,Suitable,1.6293,72.39
2017,Tolerable,0.10425,4.63
2017,Unsuitable,0.44675,19.85
2018,Marginal,0.126,5.6
2018,Suitable,1.66864,74.14
2018,Tolerable,0.27816,12.36
2018,Unsuitable,0.178,7.91
2019,Marginal,0.07439,3.31
2019,Suitable,1.44675,64.28
2019,Tolerable,0.133,5.91
2019,Unsuitable,0.59666,26.51
2020,Marginal,0.18516,8.23
2020,Suitable,1.33577,59.35
2020,Tolerable,0.30386,13.5
2020,Unsuitable,0.42601,18.93
2021,Marginal,0.1077,4.81
2021,Suitable,0.8793,39.24
2021,Tolerable,0.25352,11.31
2021,Unsuitable,1.00028,44.64
2022,Marginal,0.13961,6.23
2022,Suitable,1.34507,60.03
2022,Tolerable,0.2107,9.4
2022,Unsuitable,0.54542,24.34
2023,Marginal,0.07566,3.36
2023,Suitable,1.6825,74.75
2023,Tolerable,0.05464,2.43
2023,Unsuitable,0.438,19.46
2024,Marginal,0.11012,4.91
2024,Suitable,1.57482,70.28
2024,Tolerable,0.15056,6.72
2024,Unsuitable,0.4053,18.09
2025,Marginal,0.19062,8.51
2025,Suitable,1.49727,66.82
2025,Tolerable,0.10661,4.76
2025,Unsuitable,0.4463,19.92
