year,Habitat,volume,percent
2015,Marginal,0.473205,7.12
2015,Suitable,4.4519875,67
2015,Tolerable,0.92861,13.98
2015,Unsuitable,0.7905,11.9
2016,Marginal,0.5132175,7.72
2016,Suitable,2.0101925,30.25
2016,Tolerable,3.1901325,48
2016,Unsuitable,0.9323125,14.03
2017,Marginal,0.2602675,3.91
2017,Suitable,5.58363,83.98
2017,Tolerable,0.3605825,5.42
2017,Unsuitable,0.444625,6.69
2018,Marginal,0.4810825,7.22
2018,Suitable,4.3132,64.77
2018,Tolerable,1.2000425,18.02
2018,Unsuitable,0.66516,9.99
2019,Marginal,0.3356675,5.04
2019,Suitable,4.43492,66.62
2019,Tolerable,0.8316,12.49
2019,Unsuitable,1.0547925,15.84
2020,Marginal,1.442625,21.69
2020,Suitable,2.621385,39.4
2020,Tolerable,1.887715,28.38
2020,Unsuitable,0.7007475,10.53
2021,Marginal,0.2427,4.3
2021,Suitable,3.55758,63.04
2021,Tolerable,0.4199225,7.44
2021,Unsuitable,1.423315,25.22
2022,Marginal,0.351165,6.16
2022,Suitable,4.066605,71.29
2022,Tolerable,0.323125,5.66
2022,Unsuitable,0.963085,16.88
2023,Marginal,0.24395,3.66
2023,Suitable,5.6351575,84.64
2023,Tolerable,0.2539925,3.81
2023,Unsuitable,0.5250675,7.89
2024,Marginal,0.3610275,6.33
2024,Suitable,3.9818775,69.8
2024,Tolerable,0.80284,14.07
2024,Unsuitable,0.558985,9.8
2025,Marginal,0.3272825,5.74
2025,Suitable,4.08873,71.71
2025,Tolerable,0.60081,10.54
2025,Unsuitable,0.6850325,12.01
