year,Habitat,volume,percent
2015,Marginal,0.08339,4.07
2015,Suitable,1.23715,60.44
2015,Tolerable,0.218,10.65
2015,Unsuitable,0.50825,24.83
2016,Marginal,0.139,6.79
2016,Suitable,1.45138,70.91
2016,Tolerable,0.11612,5.67
2016,Unsuitable,0.34029,16.63
2017,Marginal,0.19175,9.37
2017,Suitable,1.43854,70.28
2017,Tolerable,0.24775,12.1
2017,Unsuitable,0.16875,8.24
2018,Marginal,0.07914,3.87
2018,Suitable,1.31975,64.48
2018,Tolerable,0.208,10.16
2018,Unsuitable,0.4399,21.49
2019,Marginal,0.20294,9.92
2019,Suitable,1.28972,63.01
2019,Tolerable,0.11113,5.43
2019,Unsuitable,0.443,21.64
2020,Marginal,0.0515,2.52
2020,Suitable,1.81579,88.71
2020,Tolerable,0.178,8.7
2020,Unsuitable,0.0015,0.07
2021,Marginal,0.09215,4.5
2021,Suitable,1.52189,74.35
2021,Tolerable,0.049,2.39
2021,Unsuitable,0.38375,18.75
2022,Marginal,0.1195,5.84
2022,Suitable,1.27275,62.18
2022,Tolerable,0.25125,12.28
2022,Unsuitable,0.40329,19.7
2023,Marginal,0.42836,21.03
2023,Suitable,0.80263,39.41
2023,Tolerable,0.3113,15.28
2023,Unsuitable,0.4945,24.28
2024,Marginal,0.04541,2.23
2024,Suitable,1.57252,77.21
2024,Tolerable,0.12511,6.14
2024,Unsuitable,0.29375,14.42
2025,Marginal,0.08,4.07
2025,Suitable,1.44264,73.43
2025,Tolerable,0.13,6.62
2025,Unsuitable,0.312,15.88
