year,Habitat,volume,percent
2015,Suitable,3.2278,100
2016,Suitable,2.2508,100
2017,Suitable,2.2508,100
2018,Marginal,0.147,6.53
2018,Suitable,1.72305,76.55
2018,Tolerable,0.077,3.42
2018,Unsuitable,0.30375,13.5
2019,Suitable,2.2508,100
2020,Marginal,0.029,1.4
2020,Suitable,2.01664,97.53
2020,Tolerable,0.02216,1.07
2021,Marginal,0.23975,10.65
2021,Suitable,1.6443,73.05
2021,Tolerable,0.126,5.6
2021,Unsuitable,0.24075,10.7
2022,Suitable,2.2508,100
2023,Suitable,2.2408,100
2024,Suitable,2.1678,96.74
2024,Tolerable,0.073,3.26
2025,Marginal,0.1363,6.08
2025,Suitable,1.79775,80.23
2025,Tolerable,0.095,4.24
2025,Unsuitable,0.21175,9.45
