year,Habitat,volume,percent
2016,Suitable,6.64295,100
2017,Suitable,6.6573075,100
2018,Marginal,0.001625,0.02
2018,Suitable,6.5944225,99.06
2018,Tolerable,0.059375,0.89
2018,Unsuitable,0.0015625,0.02
2019,Suitable,6.6565575,100
2021,Suitable,6.654185,100
2022,Suitable,6.64086,99.79
2022,Tolerable,0.01375,0.21
2023,Suitable,6.6420475,99.89
2023,Tolerable,0.007,0.11
2024,Marginal,0.00225,0.04
2024,Suitable,5.59586,98.09
2024,Tolerable,0.106625,1.87
2025,Suitable,5.7038075,100
2026,Suitable,5.699355,100
