UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY
300500,4254500,POTOH,0,250000,8.26,70.1,300500 4254500,0,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,1.64042,250000,8.18,70,300500 4254500,0.5,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,4.92126,250000,7.98,69.8,300500 4254500,1.5,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,3.28084,250000,8.08,69.9,300500 4254500,1,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,6.56168,250000,7.88,69.7,300500 4254500,2,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
301000,4265500,POTOH,6.56168,250000,8.29,70.9,301000 4265500,2,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,11.48294,250000,8.13,70.9,301000 4265500,3.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,3.28084,250000,8.53,71.1,301000 4265500,1,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,8.2021,250000,8.13,70.9,301000 4265500,2.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,9.84252,250000,8.14,70.9,301000 4265500,3,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,4.92126,250000,8.4,71,301000 4265500,1.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,1.64042,250000,8.65,71.2,301000 4265500,0.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,0,250000,8.76,71.3,301000 4265500,0,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4266000,POTOH,11.48294,250000,8.15,70.9,301000 4266000,3.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,13.12336,250000,6.32,70.8,301000 4266000,4,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,3.28084,250000,8.52,71.1,301000 4266000,1,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,6.56168,250000,8.27,70.9,301000 4266000,2,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,1.64042,250000,8.64,71.2,301000 4266000,0.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,9.84252,250000,8.15,70.9,301000 4266000,3,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,4.92126,250000,8.39,71,301000 4266000,1.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,0,250000,8.74,71.3,301000 4266000,0,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,8.2021,250000,8.15,70.9,301000 4266000,2.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,14.76378,250000,6.28,70.8,301000 4266000,4.5,Suitable,dodgerblue,YES,187.032671,42.253228
301500,4256000,POTOH,1.64042,250000,8.19,70,301500 4256000,0.5,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,0,250000,8.27,70.1,301500 4256000,0,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,4.92126,250000,7.99,69.9,301500 4256000,1.5,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,3.28084,250000,8.09,70,301500 4256000,1,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,6.56168,250000,7.88,69.8,301500 4256000,2,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256500,POTOH,3.28084,250000,8.11,70,301500 4256500,1,Suitable,dodgerblue,YES,187.3433565,36.3502035000001
301500,4256500,POTOH,4.92126,250000,8,69.9,301500 4256500,1.5,Suitable,dodgerblue,YES,187.3433565,36.3502035000001
301500,4256500,POTOH,1.64042,250000,8.2,70.1,301500 4256500,0.5,Suitable,dodgerblue,YES,187.3433565,36.3502035000001
301500,4256500,POTOH,0,250000,8.29,70.2,301500 4256500,0,Suitable,dodgerblue,YES,187.3433565,36.3502035000001
301500,4256500,POTOH,6.56168,250000,7.89,69.8,301500 4256500,2,Suitable,dodgerblue,YES,187.3433565,36.3502035000001
301500,4257000,POTOH,1.64042,250000,8.23,70.2,301500 4257000,0.5,Suitable,dodgerblue,YES,187.3433565,36.6608890000002
301500,4257000,POTOH,8.2021,250000,7.71,69.8,301500 4257000,2.5,Suitable,dodgerblue,YES,187.3433565,36.6608890000002
301500,4257000,POTOH,0,250000,8.32,70.3,301500 4257000,0,Suitable,dodgerblue,YES,187.3433565,36.6608890000002
301500,4257000,POTOH,6.56168,250000,7.91,69.9,301500 4257000,2,Suitable,dodgerblue,YES,187.3433565,36.6608890000002
301500,4257000,POTOH,4.92126,250000,8.02,70,301500 4257000,1.5,Suitable,dodgerblue,YES,187.3433565,36.6608890000002
301500,4257000,POTOH,3.28084,250000,8.13,70.1,301500 4257000,1,Suitable,dodgerblue,YES,187.3433565,36.6608890000002
301500,4257500,POTOH,6.56168,250000,7.93,70,301500 4257500,2,Suitable,dodgerblue,YES,187.3433565,36.9715745000003
