year,Habitat,volume,percent
2015,Marginal,0.1816,8.07
2015,Suitable,1.32137,58.71
2015,Tolerable,0.22853,10.15
2015,Unsuitable,0.5193,23.07
2016,Marginal,0.15916,7.07
2016,Suitable,1.54475,68.63
2016,Tolerable,0.16189,7.19
2016,Unsuitable,0.385,17.11
2017,Marginal,0.2525,11.22
2017,Suitable,1.26581,56.24
2017,Tolerable,0.21119,9.38
2017,Unsuitable,0.5213,23.16
2018,Marginal,0.20851,9.26
2018,Suitable,1.13468,50.41
2018,Tolerable,0.21269,9.45
2018,Unsuitable,0.69492,30.87
2019,Marginal,0.07616,3.38
2019,Suitable,1.59002,70.64
2019,Tolerable,0.10187,4.53
2019,Unsuitable,0.48275,21.45
2021,Marginal,0.149,6.65
2021,Suitable,1.38577,61.84
2021,Tolerable,0.088,3.93
2021,Unsuitable,0.61803,27.58
2022,Marginal,0.268,11.96
2022,Suitable,1.25,55.78
2022,Tolerable,0.22875,10.21
2022,Unsuitable,0.49405,22.05
2023,Marginal,0.136,6.04
2023,Suitable,1.77789,78.99
2023,Tolerable,0.06416,2.85
2023,Unsuitable,0.27275,12.12
2024,Marginal,0.02414,1.08
2024,Suitable,1.8535,82.72
2024,Tolerable,0.079,3.53
2024,Unsuitable,0.28416,12.68
2025,Marginal,0.20595,9.19
2025,Suitable,0.88737,39.6
2025,Tolerable,0.22656,10.11
2025,Unsuitable,0.92092,41.1
