year,Habitat,volume,percent
2015,Marginal,0.5189325,7.81
2015,Suitable,4.8262975,72.61
2015,Tolerable,0.447435,6.73
2015,Unsuitable,0.85414,12.85
2016,Marginal,0.43939,6.61
2016,Suitable,5.10422,76.77
2016,Tolerable,0.546125,8.21
2016,Unsuitable,0.5588125,8.41
2017,Marginal,0.4010375,6.02
2017,Suitable,4.7919375,71.99
2017,Tolerable,0.3952725,5.94
2017,Unsuitable,1.0685575,16.05
2018,Marginal,0.2955475,4.44
2018,Suitable,4.7933775,72
2018,Tolerable,0.238455,3.58
2018,Unsuitable,1.3302425,19.98
2019,Marginal,0.35047,5.27
2019,Suitable,5.266655,79.13
2019,Tolerable,0.424055,6.37
2019,Unsuitable,0.6141875,9.23
2021,Marginal,0.2886525,5.06
2021,Suitable,4.0798875,71.56
2021,Tolerable,0.2388975,4.19
2021,Unsuitable,1.0936225,19.18
2022,Marginal,0.43467,7.62
2022,Suitable,4.076845,71.47
2022,Tolerable,0.380475,6.67
2022,Unsuitable,0.8122525,14.24
2023,Marginal,0.147875,2.22
2023,Suitable,6.0532,91
2023,Tolerable,0.1804075,2.71
2023,Unsuitable,0.2705,4.07
2024,Marginal,0.14714,2.58
2024,Suitable,4.7284125,82.92
2024,Tolerable,0.2713425,4.76
2024,Unsuitable,0.55522,9.74
2025,Marginal,0.3461225,6.07
2025,Suitable,3.593395,62.99
2025,Tolerable,0.4442675,7.79
2025,Unsuitable,1.3209625,23.16
