UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY,distfrommouth
375000,4266000,CB4MH,60.69554,1e+06,0.1,75.61,375000 4266000,18.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,8.2021,1e+06,6.87,84.04,375000 4266000,2.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,14.76378,1e+06,6.55,84.04,375000 4266000,4.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,67.25722,1e+06,0.1,75.63,375000 4266000,20.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,11.48294,1e+06,6.76,84.04,375000 4266000,3.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,44.29134,1e+06,0.1,76.78,375000 4266000,13.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,4.92126,1e+06,6.96,84.04,375000 4266000,1.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,57.4147,1e+06,0.1,75.78,375000 4266000,17.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,34.44882,1e+06,0.69,80.17,375000 4266000,10.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,31.16798,1e+06,2.66,81.88,375000 4266000,9.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,47.57218,1e+06,0.1,76.47,375000 4266000,14.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,1.64042,1e+06,6.99,84.05,375000 4266000,0.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,21.32546,1e+06,5.9,83.73,375000 4266000,6.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
