year,Habitat,volume,percent
2015,Marginal,0.15813,7.03
2015,Suitable,0.98047,43.56
2015,Tolerable,0.51028,22.67
2015,Unsuitable,0.60192,26.74
2016,Marginal,0.13631,6.06
2016,Suitable,0.78107,34.7
2016,Tolerable,0.6835,30.37
2016,Unsuitable,0.64992,28.88
2017,Marginal,0.14125,6.28
2017,Suitable,1.36753,60.76
2017,Tolerable,0.20697,9.2
2017,Unsuitable,0.53505,23.77
2018,Marginal,0.25064,11.14
2018,Suitable,1.03482,45.98
2018,Tolerable,0.48193,21.41
2018,Unsuitable,0.48341,21.48
2019,Marginal,0.15724,6.99
2019,Suitable,0.83382,37.05
2019,Tolerable,0.36924,16.4
2019,Unsuitable,0.8905,39.56
2020,Marginal,0.09139,4.06
2020,Suitable,0.76088,33.8
2020,Tolerable,0.85762,38.1
2020,Unsuitable,0.54091,24.03
2021,Marginal,0.1077,4.78
2021,Suitable,0.8893,39.51
2021,Tolerable,0.25352,11.26
2021,Unsuitable,1.00028,44.44
2022,Marginal,0.217,9.64
2022,Suitable,0.162,7.2
2022,Tolerable,1.3205,58.67
2022,Unsuitable,0.5513,24.49
2023,Marginal,0.076,3.39
2023,Suitable,1.9118,85.32
2023,Tolerable,0.094,4.19
2023,Unsuitable,0.159,7.1
2024,Marginal,0.205,9.15
2024,Suitable,1.62889,72.69
2024,Tolerable,0.25091,11.2
2024,Unsuitable,0.156,6.96
2025,Marginal,0.2792,12.46
2025,Suitable,1.08952,48.62
2025,Tolerable,0.14016,6.25
2025,Unsuitable,0.73192,32.66
