months,maxdatahs,mindatahs,monthseq,timekey,meansuitability
January,100,98.6,1,historic,99.90526316
February,100,100,2,historic,100
March,100,99.9,3,historic,100
April,100,96.3,4,historic,99.30105263
May,99.9,71.6,5,historic,90.46052632
Early June,91.8,67.9,6,historic,76.28736842
Late June,89.1,59.5,7,historic,74.34789474
Early July,88.6,11.7,8,historic,63.18342105
Late July,85.5,2.52,9,historic,57.33763158
Early August,86.3,4.31,10,historic,59.90184211
Late August,91.4,26.2,11,historic,70.36078947
September,97.9,77.1,12,historic,87.02184211
October,100,88.4,13,historic,97.10605263
November,100,97,14,historic,97.17894737
December,100,95.3,15,historic,97.17894737
January,100,98.6,1,currentyear,100
February,100,100,2,currentyear,100
March,100,99.9,3,currentyear,100
April,100,96.3,4,currentyear,100
May,99.9,71.6,5,currentyear,95.44
Early June,91.8,67.9,6,currentyear,75.31
Late June,89.1,59.5,7,currentyear,54.26
Early July,88.6,11.7,8,currentyear,26.17
Late July,85.5,2.52,9,currentyear,8.06
Early August,86.3,4.31,10,currentyear,48.62
Late August,91.4,26.2,11,currentyear,67
September,97.9,77.1,12,currentyear,
October,100,88.4,13,currentyear,
November,100,97,14,currentyear,
December,100,95.3,15,currentyear,
