year,Habitat,volume,percent
2015,Marginal,0.4198275,6.46
2015,Suitable,5.107165,78.6
2015,Tolerable,0.4273,6.58
2015,Unsuitable,0.5431875,8.36
2016,Marginal,0.29585,4.45
2016,Suitable,5.46478,82.15
2016,Tolerable,0.3389475,5.1
2016,Unsuitable,0.55235,8.3
2017,Marginal,0.2834375,4.25
2017,Suitable,5.7315175,86.03
2017,Tolerable,0.392775,5.9
2017,Unsuitable,0.254875,3.83
2018,Marginal,0.2410425,3.76
2018,Suitable,5.2503175,81.83
2018,Tolerable,0.2977925,4.64
2018,Unsuitable,0.6266575,9.77
2019,Marginal,0.543225,8.16
2019,Suitable,5.1199575,76.94
2019,Tolerable,0.3665475,5.51
2019,Unsuitable,0.624375,9.38
2020,Marginal,0.0639375,0.96
2020,Suitable,6.31944,95.01
2020,Tolerable,0.2199775,3.31
2020,Unsuitable,0.04775,0.72
2021,Marginal,0.2334675,3.51
2021,Suitable,5.6984725,85.69
2021,Tolerable,0.22078,3.32
2021,Unsuitable,0.4976975,7.48
2022,Marginal,0.31954,4.8
2022,Suitable,5.2688075,79.19
2022,Tolerable,0.4258325,6.4
2022,Unsuitable,0.639315,9.61
2023,Marginal,0.54803,9.61
2023,Suitable,3.4135025,59.85
2023,Tolerable,1.0268825,18
2023,Unsuitable,0.7151875,12.54
2024,Marginal,0.1558925,2.73
2024,Suitable,4.832555,84.71
2024,Tolerable,0.304195,5.33
2024,Unsuitable,0.4122175,7.23
2025,Marginal,0.2005,3.72
2025,Suitable,4.5152575,83.86
2025,Tolerable,0.31658,5.88
2025,Unsuitable,0.351875,6.54
