UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY,distfrommouth
375000,4266000,CB4MH,18.04462,1e+06,7.64,71.3,375000 4266000,5.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,41.0105,1e+06,4.04,72,375000 4266000,12.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,63.97638,1e+06,1.94,72.1,375000 4266000,19.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,31.16798,1e+06,6.49,71.3,375000 4266000,9.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,37.72966,1e+06,4.6,72,375000 4266000,11.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,67.25722,1e+06,1.81,72.1,375000 4266000,20.5,Unsuitable,black,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,4.92126,1e+06,8.24,71.3,375000 4266000,1.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,50.85302,1e+06,2.59,72,375000 4266000,15.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,24.6063,1e+06,7.03,71.3,375000 4266000,7.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,11.48294,1e+06,8.17,71.3,375000 4266000,3.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,57.4147,1e+06,2.23,72,375000 4266000,17.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,44.29134,1e+06,3.19,72,375000 4266000,13.5,Tolerable,yellow,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,27.88714,1e+06,7.02,71.3,375000 4266000,8.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,34.44882,1e+06,5.36,71.6,375000 4266000,10.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,1.64042,1e+06,8.28,71.3,375000 4266000,0.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,60.69554,1e+06,2.05,72.1,375000 4266000,18.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,8.2021,1e+06,8.23,71.3,375000 4266000,2.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,21.32546,1e+06,7.24,71.3,375000 4266000,6.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,54.13386,1e+06,2.41,72,375000 4266000,16.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,47.57218,1e+06,2.79,71.9,375000 4266000,14.5,Marginal,orange,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,14.76378,1e+06,8,71.3,375000 4266000,4.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4267000,CB4MH,1.64042,1e+06,8.27,71.2,375000 4267000,0.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,4.92126,1e+06,8.23,71.2,375000 4267000,1.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,44.29134,1e+06,2.77,72,375000 4267000,13.5,Marginal,orange,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,34.44882,1e+06,4.93,71.7,375000 4267000,10.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,14.76378,1e+06,8.03,71.3,375000 4267000,4.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,67.25722,1e+06,1.82,72.1,375000 4267000,20.5,Unsuitable,black,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,11.48294,1e+06,8.16,71.2,375000 4267000,3.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,70.53806,1e+06,1.77,72.1,375000 4267000,21.5,Unsuitable,black,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,21.32546,1e+06,7.25,71.3,375000 4267000,6.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,8.2021,1e+06,8.22,71.2,375000 4267000,2.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,60.69554,1e+06,2,72.1,375000 4267000,18.5,Marginal,orange,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,18.04462,1e+06,7.7,71.3,375000 4267000,5.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,24.6063,1e+06,7,71.3,375000 4267000,7.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,63.97638,1e+06,1.91,72.1,375000 4267000,19.5,Unsuitable,black,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,31.16798,1e+06,6.18,71.2,375000 4267000,9.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,54.13386,1e+06,2.29,72,375000 4267000,16.5,Marginal,orange,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,50.85302,1e+06,2.43,72,375000 4267000,15.5,Marginal,orange,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,37.72966,1e+06,4.08,72,375000 4267000,11.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,57.4147,1e+06,2.14,72.1,375000 4267000,17.5,Marginal,orange,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,47.57218,1e+06,2.56,72,375000 4267000,14.5,Marginal,orange,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,41.0105,1e+06,3.53,72,375000 4267000,12.5,Tolerable,yellow,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,27.88714,1e+06,6.8,71.2,375000 4267000,8.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
