UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesx,milesy,distfrommouth
300500,4254500,POTOH,11.48294,250000,7.91,72.5,300500 4254500,3.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,1.64042,250000,8.72,72.5,300500 4254500,0.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,4.92126,250000,8.5,72.5,300500 4254500,1.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,14.76378,250000,7.61,72.5,300500 4254500,4.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,8.2021,250000,8.21,72.5,300500 4254500,2.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
301000,4265500,POTOH,1.64042,250000,7.95,72.5,301000 4265500,0.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,21.32546,250000,7.44,72.3,301000 4265500,6.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,24.6063,250000,7.1,72.3,301000 4265500,7.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,11.48294,250000,7.93,72.4,301000 4265500,3.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,4.92126,250000,7.95,72.5,301000 4265500,1.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,8.2021,250000,7.95,72.4,301000 4265500,2.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,14.76378,250000,7.92,72.3,301000 4265500,4.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,18.04462,250000,7.7,72.3,301000 4265500,5.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4266000,POTOH,1.64042,250000,7.93,72.5,301000 4266000,0.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,4.92126,250000,7.94,72.5,301000 4266000,1.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,21.32546,250000,7.43,72.3,301000 4266000,6.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,18.04462,250000,7.69,72.3,301000 4266000,5.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,31.16798,250000,6.7,72.7,301000 4266000,9.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,8.2021,250000,7.94,72.4,301000 4266000,2.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,14.76378,250000,7.92,72.3,301000 4266000,4.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,24.6063,250000,7.11,72.3,301000 4266000,7.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,11.48294,250000,7.93,72.4,301000 4266000,3.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,27.88714,250000,6.63,72.6,301000 4266000,8.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301500,4256000,POTOH,14.76378,250000,7.62,72.4,301500 4256000,4.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,1.64042,250000,8.62,72.5,301500 4256000,0.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,8.2021,250000,8.16,72.5,301500 4256000,2.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,11.48294,250000,7.89,72.5,301500 4256000,3.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,4.92126,250000,8.43,72.5,301500 4256000,1.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256500,POTOH,8.2021,250000,8.14,72.4,301500 4256500,2.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,1.64042,250000,8.57,72.5,301500 4256500,0.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,11.48294,250000,7.88,72.4,301500 4256500,3.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,14.76378,250000,7.62,72.4,301500 4256500,4.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,4.92126,250000,8.39,72.5,301500 4256500,1.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4257000,POTOH,1.64042,250000,8.53,72.5,301500 4257000,0.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,4.92126,250000,8.36,72.4,301500 4257000,1.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,14.76378,250000,7.63,72.4,301500 4257000,4.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,11.48294,250000,7.88,72.4,301500 4257000,3.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,8.2021,250000,8.12,72.4,301500 4257000,2.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,18.04462,250000,7.46,72.5,301500 4257000,5.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257500,POTOH,4.92126,250000,8.32,72.4,301500 4257500,1.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
