months,maxdatawb,mindatawb,monthseq,timekey,meansuitability
January,100,98.627215,1,historic,99.93732461
February,100,99.964205,2,historic,99.99833407
March,100,99.853254,3,historic,99.99126622
April,100,96.259686,4,historic,99.44321206
May,99.94289,71.554099,5,historic,90.79267127
Early June,91.80321,67.889627,6,historic,78.32521138
Late June,89.09262,59.486843,7,historic,76.08291223
Early July,88.55161,11.739094,8,historic,64.55019904
Late July,85.45735,2.516686,9,historic,56.84371387
Early August,86.25828,4.312487,10,historic,60.94303417
Late August,91.38191,26.203638,11,historic,72.02963336
September,97.89752,77.12605,12,historic,87.93332795
October,100,88.448145,13,historic,97.02869634
November,100,97.011848,14,historic,99.76783087
December,100,95.315226,15,historic,99.70602486
January,100,98.627215,1,currentyear,100
February,100,99.964205,2,currentyear,100
March,100,99.853254,3,currentyear,100
April,100,96.259686,4,currentyear,100
May,99.94289,71.554099,5,currentyear,98.4
Early June,91.80321,67.889627,6,currentyear,82.66
Late June,89.09262,59.486843,7,currentyear,62.08
Early July,88.55161,11.739094,8,currentyear,15.23
Late July,85.45735,2.516686,9,currentyear,7.63
Early August,86.25828,4.312487,10,currentyear,63.5
Late August,91.38191,26.203638,11,currentyear,71.6
September,97.89752,77.12605,12,currentyear,83.3
October,100,88.448145,13,currentyear,88.8
November,100,97.011848,14,currentyear,100
December,100,95.315226,15,currentyear,
