UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesx,milesy,distfrommouth
300500,4254500,POTOH,11.48294,250000,9.77,52.3,300500 4254500,3.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,1.64042,250000,9.92,52.3,300500 4254500,0.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,4.92126,250000,9.88,52.3,300500 4254500,1.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,14.76378,250000,9.73,52.3,300500 4254500,4.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,8.2021,250000,9.82,52.3,300500 4254500,2.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
301000,4265500,POTOH,1.64042,250000,10.32,52.1,301000 4265500,0.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,21.32546,250000,10.01,52.6,301000 4265500,6.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,24.6063,250000,10.16,51.4,301000 4265500,7.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,11.48294,250000,10.07,52.3,301000 4265500,3.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,4.92126,250000,10.27,52.1,301000 4265500,1.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,8.2021,250000,10.14,52.3,301000 4265500,2.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,14.76378,250000,10.01,52.3,301000 4265500,4.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,18.04462,250000,10,52.5,301000 4265500,5.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4266000,POTOH,1.64042,250000,10.31,52.1,301000 4266000,0.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,4.92126,250000,10.27,52.1,301000 4266000,1.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,21.32546,250000,10,52.6,301000 4266000,6.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,18.04462,250000,10,52.5,301000 4266000,5.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,31.16798,250000,10.4,50.7,301000 4266000,9.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,8.2021,250000,10.14,52.3,301000 4266000,2.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,14.76378,250000,10.01,52.3,301000 4266000,4.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,24.6063,250000,10.18,51.4,301000 4266000,7.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,11.48294,250000,10.08,52.3,301000 4266000,3.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,27.88714,250000,10.18,51.3,301000 4266000,8.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301500,4256000,POTOH,14.76378,250000,9.75,52.3,301500 4256000,4.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,1.64042,250000,9.97,52.2,301500 4256000,0.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,8.2021,250000,9.84,52.3,301500 4256000,2.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,11.48294,250000,9.79,52.3,301500 4256000,3.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,4.92126,250000,9.92,52.2,301500 4256000,1.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256500,POTOH,8.2021,250000,9.85,52.3,301500 4256500,2.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,1.64042,250000,10,52.2,301500 4256500,0.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,11.48294,250000,9.81,52.3,301500 4256500,3.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,14.76378,250000,9.76,52.3,301500 4256500,4.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,4.92126,250000,9.95,52.2,301500 4256500,1.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4257000,POTOH,1.64042,250000,10.03,52.1,301500 4257000,0.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,4.92126,250000,9.98,52.1,301500 4257000,1.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,14.76378,250000,9.77,52.3,301500 4257000,4.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,11.48294,250000,9.82,52.3,301500 4257000,3.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,8.2021,250000,9.87,52.3,301500 4257000,2.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,18.04462,250000,9.76,52.3,301500 4257000,5.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257500,POTOH,4.92126,250000,10.01,52.1,301500 4257500,1.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,1.64042,250000,10.06,52.1,301500 4257500,0.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,11.48294,250000,9.84,52.3,301500 4257500,3.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,18.04462,250000,9.78,52.3,301500 4257500,5.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,8.2021,250000,9.88,52.3,301500 4257500,2.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,14.76378,250000,9.79,52.3,301500 4257500,4.5,Suitable,dodgerblue,YES,187.3433565,2645.4870325,36.9715745000003
301500,4258000,POTOH,8.2021,250000,9.9,52.3,301500 4258000,2.5,Suitable,dodgerblue,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,14.76378,250000,9.81,52.3,301500 4258000,4.5,Suitable,dodgerblue,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,18.04462,250000,9.79,52.3,301500 4258000,5.5,Suitable,dodgerblue,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,1.64042,250000,10.1,52,301500 4258000,0.5,Suitable,dodgerblue,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,11.48294,250000,9.85,52.3,301500 4258000,3.5,Suitable,dodgerblue,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,4.92126,250000,10.04,52,301500 4258000,1.5,Suitable,dodgerblue,YES,187.3433565,2645.797718,37.2822600000004
