"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempC"
"CB5.3",2026-03-18,0,NA,NA,NA,NA,NA,NA,NA,"MDmain",NA
"LE2.3",2026-03-18,0.5,43.16,8.1,11.3,29700,18.2,NA,"2.2","MDmain",6.2
"LE2.3",2026-03-18,1,43.16,8.1,11.3,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,2,43.16,8.1,11.3,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,3,43.16,8.1,11.3,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,4,43.16,8.1,11.3,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,5,43.16,8.1,11.3,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,6,43.16,8.1,11.2,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,7,43.16,8.1,11.2,29700,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,8,43.16,8.1,11.2,29800,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,9,43.16,8.1,11.2,29800,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,10,43.16,8.1,11.2,29800,18.2,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,11,43.16,8.1,11.2,29800,18.3,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,12,43.16,8.1,11.2,29900,18.3,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,13,43.16,8.1,11.2,30000,18.4,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,14,43.16,8.1,11.2,30100,18.4,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,15,43.16,8.1,11.2,30200,18.5,NA,NA,"MDmain",6.2
"LE2.3",2026-03-18,16,42.44,8,10.9,31600,19.4,NA,NA,"MDmain",5.8
"LE2.3",2026-03-18,17,42.26,8,10.7,31700,19.5,NA,NA,"MDmain",5.7
"LE2.3",2026-03-18,18,42.26,8,10.7,31800,19.5,NA,NA,"MDmain",5.7
"CB5.2",2026-03-19,0.5,42.08,8.1,11.7,29900,18.3,NA,"2.4","MDmain",5.6
"CB5.2",2026-03-19,1,42.08,8.1,11.7,30000,18.4,NA,NA,"MDmain",5.6
"CB5.2",2026-03-19,2,42.08,8.1,11.7,30000,18.4,NA,NA,"MDmain",5.6
"CB5.2",2026-03-19,3,42.08,8.1,11.7,30000,18.4,NA,NA,"MDmain",5.6
"CB5.2",2026-03-19,4,42.08,8.1,11.6,30000,18.4,NA,NA,"MDmain",5.6
"CB5.2",2026-03-19,5,42.08,8.1,11.6,30100,18.4,NA,NA,"MDmain",5.6
"CB5.2",2026-03-19,6,42.26,8.1,11.5,30200,18.5,NA,NA,"MDmain",5.7
"CB5.2",2026-03-19,7,42.62,8,11.2,30400,18.6,NA,NA,"MDmain",5.9
"CB5.2",2026-03-19,8,42.62,8,11.1,30600,18.8,NA,NA,"MDmain",5.9
