UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY,distfrommouth
375000,4266000,CB4MH,47.57218,1e+06,10.69,40.4,375000 4266000,14.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,41.0105,1e+06,10.88,41.2,375000 4266000,12.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,31.16798,1e+06,11.1,42.3,375000 4266000,9.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,27.88714,1e+06,11.19,42.5,375000 4266000,8.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,60.69554,1e+06,10.11,38.5,375000 4266000,18.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,37.72966,1e+06,10.94,41.8,375000 4266000,11.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,11.48294,1e+06,11.37,42.7,375000 4266000,3.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,67.25722,1e+06,9.97,38,375000 4266000,20.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,18.04462,1e+06,11.33,42.8,375000 4266000,5.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,14.76378,1e+06,11.34,42.8,375000 4266000,4.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,50.85302,1e+06,10.55,40,375000 4266000,15.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,34.44882,1e+06,11.01,42.2,375000 4266000,10.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,63.97638,1e+06,9.99,38.2,375000 4266000,19.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,21.32546,1e+06,11.31,42.7,375000 4266000,6.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,8.2021,1e+06,11.38,42.7,375000 4266000,2.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,1.64042,1e+06,11.45,42.7,375000 4266000,0.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,24.6063,1e+06,11.26,42.5,375000 4266000,7.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,54.13386,1e+06,10.38,39.5,375000 4266000,16.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,4.92126,1e+06,11.41,42.7,375000 4266000,1.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,44.29134,1e+06,10.79,40.7,375000 4266000,13.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,57.4147,1e+06,10.27,38.9,375000 4266000,17.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4267000,CB4MH,63.97638,1e+06,9.99,38,375000 4267000,19.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,11.48294,1e+06,11.39,42.6,375000 4267000,3.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,21.32546,1e+06,11.35,42.6,375000 4267000,6.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,8.2021,1e+06,11.39,42.6,375000 4267000,2.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,4.92126,1e+06,11.43,42.6,375000 4267000,1.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,31.16798,1e+06,11.13,42.3,375000 4267000,9.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,37.72966,1e+06,10.97,41.9,375000 4267000,11.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,47.57218,1e+06,10.72,40.4,375000 4267000,14.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,1.64042,1e+06,11.48,42.7,375000 4267000,0.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,14.76378,1e+06,11.37,42.7,375000 4267000,4.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,18.04462,1e+06,11.36,42.8,375000 4267000,5.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,57.4147,1e+06,10.26,38.9,375000 4267000,17.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,60.69554,1e+06,10.11,38.4,375000 4267000,18.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,34.44882,1e+06,11.03,42.2,375000 4267000,10.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,54.13386,1e+06,10.39,39.5,375000 4267000,16.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,67.25722,1e+06,9.98,37.9,375000 4267000,20.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,24.6063,1e+06,11.3,42.5,375000 4267000,7.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,41.0105,1e+06,10.91,41.4,375000 4267000,12.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,50.85302,1e+06,10.57,40,375000 4267000,15.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,70.53806,1e+06,10,37.7,375000 4267000,21.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,27.88714,1e+06,11.22,42.4,375000 4267000,8.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,44.29134,1e+06,10.82,40.8,375000 4267000,13.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4268000,CB4MH,77.09974,1e+06,10,37.6,375000 4268000,23.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,73.8189,1e+06,10,37.6,375000 4268000,22.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,14.76378,1e+06,11.4,42.7,375000 4268000,4.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,4.92126,1e+06,11.45,42.6,375000 4268000,1.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,63.97638,1e+06,10,37.9,375000 4268000,19.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,37.72966,1e+06,10.99,42,375000 4268000,11.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,21.32546,1e+06,11.39,42.5,375000 4268000,6.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,11.48294,1e+06,11.4,42.6,375000 4268000,3.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,60.69554,1e+06,10.1,38.3,375000 4268000,18.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,57.4147,1e+06,10.25,38.8,375000 4268000,17.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,31.16798,1e+06,11.15,42.3,375000 4268000,9.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,18.04462,1e+06,11.4,42.7,375000 4268000,5.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,8.2021,1e+06,11.4,42.6,375000 4268000,2.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,70.53806,1e+06,10,37.7,375000 4268000,21.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,47.57218,1e+06,10.75,40.5,375000 4268000,14.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,27.88714,1e+06,11.25,42.3,375000 4268000,8.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
375000,4268000,CB4MH,54.13386,1e+06,10.4,39.5,375000 4268000,16.5,Suitable,dodgerblue,YES,233.014125,2652.011428,44.1173410000001
