"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempC"
"CB5.3",2026-04-13,0.5,56.66,8,10.4,27500,16.9,NA,"1.5",13.7
"CB5.3",2026-04-13,1,56.66,8,10.4,27500,16.9,NA,NA,13.7
"CB5.3",2026-04-13,2,56.48,8,10.4,27500,16.9,NA,NA,13.6
"CB5.3",2026-04-13,3,56.48,8,10.4,27500,16.9,NA,NA,13.6
"CB5.3",2026-04-13,4,56.3,8,10.3,27500,16.9,NA,NA,13.5
"CB5.3",2026-04-13,5,55.94,8,10.1,27600,17,NA,NA,13.3
"CB5.3",2026-04-13,6,55.04,8,10,28000,17.3,NA,NA,12.8
"CB5.3",2026-04-13,7,54.5,7.9,9.9,29200,18.1,NA,NA,12.5
"CB5.3",2026-04-13,8,53.24,7.8,9.1,30600,19,NA,NA,11.8
"CB5.3",2026-04-13,9,53.24,7.8,9,30700,19.1,NA,NA,11.8
"CB5.3",2026-04-13,10,53.06,7.8,8.9,31200,19.4,NA,NA,11.7
"CB5.3",2026-04-13,11,53.06,7.8,8.8,31300,19.5,NA,NA,11.7
"CB5.3",2026-04-13,12,53.42,7.8,9.1,31700,19.7,NA,NA,11.9
"CB5.3",2026-04-13,13,53.78,7.8,8.9,32800,20.5,NA,NA,12.1
"CB5.3",2026-04-13,14,53.6,7.8,8.9,32900,20.6,NA,NA,12
"CB5.3",2026-04-13,15,53.6,7.8,8.8,32900,20.6,NA,NA,12
"CB5.3",2026-04-13,16,53.6,7.8,8.8,32900,20.6,NA,NA,12
"CB5.3",2026-04-13,17,53.6,7.8,8.8,33100,20.7,NA,NA,12
"CB5.3",2026-04-13,18,53.96,7.8,8.7,33500,21,NA,NA,12.2
"CB5.3",2026-04-13,19,53.96,7.8,8.7,33600,21.1,NA,NA,12.2
"CB5.3",2026-04-13,21,53.96,7.8,8.6,33700,21.2,NA,NA,12.2
"CB5.3",2026-04-13,23,53.96,7.8,8.6,33800,21.2,NA,NA,12.2
"CB5.3",2026-04-13,25,54.14,7.8,8.6,33900,21.2,NA,NA,12.3
"CB5.3",2026-04-13,26,54.32,7.8,8.6,34200,21.5,NA,NA,12.4
"LE2.3",2026-04-13,0.5,57.2,8.1,10.5,25100,15.4,NA,"1.6",14
"LE2.3",2026-04-13,1,57.2,8.1,10.5,25100,15.4,NA,NA,14
"LE2.3",2026-04-13,2,57.2,8.1,10.5,25100,15.4,NA,NA,14
"LE2.3",2026-04-13,3,57.02,8.1,10.4,25100,15.4,NA,NA,13.9
"LE2.3",2026-04-13,4,56.84,8,10.4,25300,15.5,NA,NA,13.8
"LE2.3",2026-04-13,5,56.3,8,10.2,25800,15.8,NA,NA,13.5
"LE2.3",2026-04-13,6,56.12,8,10.1,26100,16,NA,NA,13.4
"LE2.3",2026-04-13,7,54.86,7.9,9.7,27500,16.9,NA,NA,12.7
"LE2.3",2026-04-13,8,54.14,7.9,9.5,28500,17.6,NA,NA,12.3
"LE2.3",2026-04-13,9,54.14,7.9,9.3,28500,17.6,NA,NA,12.3
"LE2.3",2026-04-13,10,53.96,7.9,9.3,28600,17.7,NA,NA,12.2
"LE2.3",2026-04-13,11,53.96,7.9,9.2,28600,17.7,NA,NA,12.2
"LE2.3",2026-04-13,12,53.78,7.8,9.1,28700,17.7,NA,NA,12.1
"LE2.3",2026-04-13,13,53.42,7.8,8.9,28700,17.7,NA,NA,11.9
"LE2.3",2026-04-13,15,52.88,7.8,8.5,28800,17.8,NA,NA,11.6
