months,maxdatahs,mindatahs,monthseq,timekey,meansuitability
January,100,98.6,1,historic,99.9075188
February,100,100,2,historic,100
March,100,99.9,3,historic,100
April,100,96.3,4,historic,99.31769423
May,99.9,71.6,5,historic,90.57908522
Early June,91.8,67.9,6,historic,76.26409774
Late June,89.1,54.26,7,historic,73.86961153
Early July,88.6,11.7,8,historic,62.30214912
Late July,85.5,2.52,9,historic,56.16435464
Early August,86.3,4.31,10,historic,59.63322682
Late August,91.4,26.2,11,historic,70.28077067
September,97.9,74.5,12,historic,86.72370301
October,100,80.3,13,historic,96.70590852
November,100,97,14,historic,97.24611529
December,100,95.3,15,historic,97.24611529
January,100,98.6,1,currentyear,100
February,100,100,2,currentyear,100
March,100,99.9,3,currentyear,100
April,100,96.3,4,currentyear,100
May,99.9,71.6,5,currentyear,81.2
Early June,91.8,67.9,6,currentyear,71.9
Late June,89.1,54.26,7,currentyear,
Early July,88.6,11.7,8,currentyear,
Late July,85.5,2.52,9,currentyear,
Early August,86.3,4.31,10,currentyear,
Late August,91.4,26.2,11,currentyear,
September,97.9,74.5,12,currentyear,
October,100,80.3,13,currentyear,
November,100,97,14,currentyear,
December,100,95.3,15,currentyear,
