year,Habitat,volume,percent
2016,Marginal,0.097,4.31
2016,Suitable,1.66982,74.19
2016,Tolerable,0.19268,8.56
2016,Unsuitable,0.2913,12.94
2017,Marginal,0.1033,4.59
2017,Suitable,1.16768,51.88
2017,Tolerable,0.39832,17.7
2017,Unsuitable,0.5815,25.84
2018,Marginal,0.251,11.15
2018,Suitable,1.05413,46.83
2018,Tolerable,0.33487,14.88
2018,Unsuitable,0.6108,27.14
2019,Marginal,0.20398,9.06
2019,Suitable,1.38296,61.44
2019,Tolerable,0.10506,4.67
2019,Unsuitable,0.5588,24.83
2021,Marginal,0.081,3.6
2021,Suitable,1.78805,79.44
2021,Tolerable,0.043,1.91
2021,Unsuitable,0.33875,15.05
2022,Marginal,0.12,5.33
2022,Suitable,1.38639,61.6
2022,Tolerable,0.24266,10.78
2022,Unsuitable,0.50175,22.29
2023,Marginal,0.1925,8.55
2023,Suitable,1.673,74.33
2023,Tolerable,0.10855,4.82
2023,Unsuitable,0.27675,12.3
2024,Marginal,0.042,1.87
2024,Suitable,1.45225,64.81
2024,Tolerable,0.18075,8.07
2024,Unsuitable,0.5658,25.25
2025,Marginal,0.0835,3.73
2025,Suitable,1.509,67.34
2025,Tolerable,0.1288,5.75
2025,Unsuitable,0.5195,23.18
2026,Marginal,0.2605,11.63
2026,Suitable,1.6073,71.73
2026,Tolerable,0.24925,11.12
2026,Unsuitable,0.12375,5.52
