year,Habitat,volume,percent
2016,Marginal,0.3615375,5.44
2016,Suitable,5.44013,81.89
2016,Tolerable,0.45003,6.77
2016,Unsuitable,0.39185,5.9
2017,Marginal,0.3712975,5.58
2017,Suitable,4.70395,70.66
2017,Tolerable,0.7451825,11.19
2017,Unsuitable,0.836375,12.56
2018,Marginal,0.40207,6.04
2018,Suitable,4.9423875,74.23
2018,Tolerable,0.35124,5.27
2018,Unsuitable,0.962925,14.46
2019,Marginal,0.521085,7.83
2019,Suitable,4.9881175,74.97
2019,Tolerable,0.2572875,3.87
2019,Unsuitable,0.8868775,13.33
2021,Marginal,0.1968325,2.96
2021,Suitable,5.8810375,88.42
2021,Tolerable,0.2996475,4.51
2021,Unsuitable,0.2737925,4.12
2022,Marginal,0.37025,5.57
2022,Suitable,4.81292,72.35
2022,Tolerable,0.8019925,12.06
2022,Unsuitable,0.66733,10.03
2023,Marginal,0.2983125,4.49
2023,Suitable,5.8003525,87.25
2023,Tolerable,0.337755,5.08
2023,Unsuitable,0.2115625,3.18
2024,Marginal,0.3119475,5.47
2024,Suitable,4.192355,73.5
2024,Tolerable,0.25939,4.55
2024,Unsuitable,0.9404225,16.49
2025,Marginal,0.26375,4.63
2025,Suitable,4.5422,79.66
2025,Tolerable,0.2914225,5.11
2025,Unsuitable,0.604375,10.6
2026,Marginal,0.291125,5.1
2026,Suitable,4.7627125,83.49
2026,Tolerable,0.2997175,5.25
2026,Unsuitable,0.3513125,6.16
