"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2026-07-20,0.5,82.4,8.2,7.5,27600,16.9,NA,"2",82.4
"CB5.3",2026-07-20,1,82.4,8.2,7.5,27600,16.9,NA,NA,82.4
"CB5.3",2026-07-20,2,82.4,8.2,7.5,27600,16.9,NA,NA,82.4
"CB5.3",2026-07-20,3,82.22,8.2,7.4,27600,16.9,NA,NA,82.22
"CB5.3",2026-07-20,4,82.22,8.2,7.4,27600,16.9,NA,NA,82.22
"CB5.3",2026-07-20,5,82.22,8.2,7.3,27600,16.9,NA,NA,82.22
"CB5.3",2026-07-20,6,82.04,8.1,7,27700,17,NA,NA,82.04
"CB5.3",2026-07-20,7,81.86,8.1,6.8,27800,17.1,NA,NA,81.86
"CB5.3",2026-07-20,8,81.86,8,6,28100,17.3,NA,NA,81.86
"CB5.3",2026-07-20,9,82.04,8,5.3,29300,18,NA,NA,82.04
"CB5.3",2026-07-20,10,81.5,7.9,4.3,31000,19.2,NA,NA,81.5
"CB5.3",2026-07-20,11,80.96,7.8,3.6,33000,20.6,NA,NA,80.96
"CB5.3",2026-07-20,12,80.42,7.7,2.7,36000,22.7,NA,NA,80.42
"CB5.3",2026-07-20,13,80.42,7.7,2.4,36400,23,NA,NA,80.42
"CB5.3",2026-07-20,15,80.24,7.7,2.4,36600,23.1,NA,NA,80.24
"CB5.3",2026-07-20,17,80.24,7.7,2.4,36700,23.1,NA,NA,80.24
"CB5.3",2026-07-20,19,80.24,7.7,2.4,36900,23.3,NA,NA,80.24
"CB5.3",2026-07-20,21,80.24,7.7,2.4,37100,23.4,NA,NA,80.24
"CB5.3",2026-07-20,23,80.24,7.7,2.5,37200,23.5,NA,NA,80.24
"CB5.3",2026-07-20,25,80.24,7.7,2.5,37200,23.5,NA,NA,80.24
"LE2.3",2026-07-20,0.5,81.68,8.1,6.9,26600,16.2,NA,"1.6",81.68
"LE2.3",2026-07-20,1,81.68,8.1,6.9,26600,16.2,NA,NA,81.68
"LE2.3",2026-07-20,2,81.68,8.1,6.9,26600,16.2,NA,NA,81.68
"LE2.3",2026-07-20,3,81.68,8.1,6.9,26600,16.2,NA,NA,81.68
"LE2.3",2026-07-20,4,81.68,8.1,6.8,26600,16.2,NA,NA,81.68
"LE2.3",2026-07-20,5,81.68,8.1,6.8,26600,16.2,NA,NA,81.68
"LE2.3",2026-07-20,6,81.68,8.1,6.6,26600,16.3,NA,NA,81.68
"LE2.3",2026-07-20,7,81.68,8,6.3,27100,16.6,NA,NA,81.68
"LE2.3",2026-07-20,8,81.68,8,6.3,27100,16.6,NA,NA,81.68
"LE2.3",2026-07-20,9,81.68,8,6.2,27200,16.6,NA,NA,81.68
"LE2.3",2026-07-20,10,81.68,7.9,5,27400,16.8,NA,NA,81.68
"LE2.3",2026-07-20,11,80.78,7.6,2.5,29000,17.9,NA,NA,80.78
