"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2026-07-06,0.5,83.48,8.2,7.6,27700,16.9,NA,"1.6",83.48
"CB5.3",2026-07-06,1,83.48,8.2,7.6,27700,16.9,NA,NA,83.48
"CB5.3",2026-07-06,2,83.12,8.2,7.4,27800,17,NA,NA,83.12
"CB5.3",2026-07-06,3,83.12,8.2,7.4,27800,17,NA,NA,83.12
"CB5.3",2026-07-06,4,82.94,8.2,7.2,27800,17,NA,NA,82.94
"CB5.3",2026-07-06,5,82.94,8.2,7.1,27800,17,NA,NA,82.94
"CB5.3",2026-07-06,6,82.76,8.1,6.8,28000,17.1,NA,NA,82.76
"CB5.3",2026-07-06,7,82.04,8,6,28400,17.4,NA,NA,82.04
"CB5.3",2026-07-06,8,80.78,7.9,4.9,29200,18,NA,NA,80.78
"CB5.3",2026-07-06,9,80.06,7.8,4.2,30100,18.6,NA,NA,80.06
"CB5.3",2026-07-06,10,79.88,7.8,3.9,30300,18.7,NA,NA,79.88
"CB5.3",2026-07-06,11,77.54,7.6,2.5,32900,20.6,NA,NA,77.54
"CB5.3",2026-07-06,12,77.54,7.6,2.5,33400,20.9,NA,NA,77.54
"CB5.3",2026-07-06,13,77.36,7.6,2.6,33700,21.1,NA,NA,77.36
"CB5.3",2026-07-06,15,77.18,7.6,2.3,33900,21.2,NA,NA,77.18
"CB5.3",2026-07-06,17,77,7.6,2.2,34000,21.3,NA,NA,77
"CB5.3",2026-07-06,19,76.46,7.6,1.8,34300,21.5,NA,NA,76.46
"CB5.3",2026-07-06,21,76.46,7.6,1.8,34300,21.6,NA,NA,76.46
"CB5.3",2026-07-06,23,76.46,7.6,1.8,34300,21.6,NA,NA,76.46
"CB5.3",2026-07-06,25,76.46,7.6,1.8,34300,21.6,NA,NA,76.46
"LE2.3",2026-07-06,0.5,83.66,8.3,7.8,25800,15.7,NA,"1.5",83.66
"LE2.3",2026-07-06,1,83.66,8.3,7.8,25800,15.7,NA,NA,83.66
"LE2.3",2026-07-06,2,83.66,8.3,7.8,25800,15.7,NA,NA,83.66
"LE2.3",2026-07-06,3,83.66,8.3,7.8,25900,15.7,NA,NA,83.66
"LE2.3",2026-07-06,4,82.94,8.2,7.7,26200,16,NA,NA,82.94
"LE2.3",2026-07-06,5,82.04,8.1,6.5,26700,16.3,NA,NA,82.04
"LE2.3",2026-07-06,6,78.26,7.7,3.7,27600,16.9,NA,NA,78.26
"LE2.3",2026-07-06,7,77.72,7.6,2.9,27900,17.1,NA,NA,77.72
"LE2.3",2026-07-06,8,77.54,7.6,2.7,27900,17.1,NA,NA,77.54
"LE2.3",2026-07-06,9,76.82,7.5,2,28000,17.2,NA,NA,76.82
"LE2.3",2026-07-06,10,76.1,7.4,1,28700,17.7,NA,NA,76.1
"LE2.3",2026-07-06,11,75.92,7.4,1,28700,17.7,NA,NA,75.92
"LE2.3",2026-07-06,12,75.92,7.4,0.9,28700,17.7,NA,NA,75.92
