year,Habitat,volume,percent
2016,Suitable,6.51019,100
2017,Suitable,6.6214375,100
2018,Marginal,0.502205,3.77
2018,Suitable,11.381245,85.52
2018,Tolerable,0.49027,3.68
2018,Unsuitable,0.934925,7.02
2019,Suitable,6.65988,100
2020,Suitable,6.6556925,99.99
2020,Tolerable,5e-04,0.01
2021,Suitable,6.6544175,100
2022,Suitable,6.659265,100
2023,Marginal,0.001875,0.03
2023,Suitable,6.651265,99.93
2023,Unsuitable,0.0026875,0.04
2024,Suitable,5.560115,100
2025,Suitable,5.7068725,100
2026,Suitable,5.6664475,100
