year,Habitat,volume,percent
2015,Marginal,0.25501,11.33
2015,Suitable,1.12122,49.81
2015,Tolerable,0.22727,10.1
2015,Unsuitable,0.6473,28.76
2016,Marginal,0.13018,5.78
2016,Suitable,0.4788,21.27
2016,Tolerable,0.76427,33.96
2016,Unsuitable,0.87755,38.99
2017,Marginal,0.06493,2.88
2017,Suitable,0.63402,28.17
2017,Tolerable,0.7368,32.74
2017,Unsuitable,0.81505,36.21
2018,Marginal,0.069,3.07
2018,Suitable,1.89864,84.35
2018,Tolerable,0.10516,4.67
2018,Unsuitable,0.178,7.91
2019,Marginal,0.61306,27.24
2019,Suitable,0.021,0.93
2019,Tolerable,0.66132,29.38
2019,Unsuitable,0.95542,42.45
2020,Marginal,0.15672,6.96
2020,Suitable,0.23169,10.29
2020,Tolerable,0.87749,38.99
2020,Unsuitable,0.9849,43.76
2021,Marginal,0.264,11.78
2021,Suitable,0.89558,39.97
2021,Tolerable,0.52617,23.48
2021,Unsuitable,0.55505,24.77
2022,Marginal,0.11375,5.08
2022,Suitable,0.96257,42.96
2022,Tolerable,0.40195,17.94
2022,Unsuitable,0.76253,34.03
2023,Marginal,0.21275,9.49
2023,Suitable,1.32775,59.25
2023,Tolerable,0.22214,9.91
2023,Unsuitable,0.47816,21.34
2024,Marginal,0.2,10.09
2024,Suitable,1.12139,56.58
2024,Tolerable,0.26111,13.18
2024,Unsuitable,0.3993,20.15
2025,Marginal,0.29962,13.37
2025,Suitable,0.18051,8.06
2025,Tolerable,0.98037,43.75
2025,Unsuitable,0.7803,34.82
