UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesx,milesy,distfrommouth
300500,4254500,POTOH,6.56168,250000,7.03,84.85,300500 4254500,2,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,1.64042,250000,7.18,85.06,300500 4254500,0.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,4.92126,250000,7.08,84.96,300500 4254500,1.5,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,3.28084,250000,7.13,84.96,300500 4254500,1,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,0,250000,7.22,85.06,300500 4254500,0,Marginal,orange,YES,186.7219855,2643.6229195,35.1074615000002
301000,4265500,POTOH,6.56168,250000,7.16,85.27,301000 4265500,2,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,9.84252,250000,7.09,85.28,301000 4265500,3,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,8.2021,250000,7.12,85.27,301000 4265500,2.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,3.28084,250000,7.27,85.43,301000 4265500,1,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,11.48294,250000,7.06,85.28,301000 4265500,3.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,1.64042,250000,7.31,85.44,301000 4265500,0.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,4.92126,250000,7.23,85.33,301000 4265500,1.5,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,0,250000,7.35,85.45,301000 4265500,0,Marginal,orange,YES,187.032671,2650.4580005,41.9425425000004
301000,4266000,POTOH,11.48294,250000,7.07,85.28,301000 4266000,3.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,6.56168,250000,7.18,85.28,301000 4266000,2,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,3.28084,250000,7.28,85.42,301000 4266000,1,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,13.12336,250000,5.6,84.7,301000 4266000,4,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,4.92126,250000,7.24,85.33,301000 4266000,1.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,1.64042,250000,7.32,85.43,301000 4266000,0.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,14.76378,250000,6.19,85.5,301000 4266000,4.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,0,250000,7.36,85.44,301000 4266000,0,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,9.84252,250000,7.1,85.29,301000 4266000,3,Marginal,orange,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,8.2021,250000,7.14,85.28,301000 4266000,2.5,Marginal,orange,YES,187.032671,2650.768686,42.253228
301500,4256000,POTOH,6.56168,250000,6.96,84.83,301500 4256000,2,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,0,250000,7.16,85.05,301500 4256000,0,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,1.64042,250000,7.12,85.04,301500 4256000,0.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,4.92126,250000,7.02,84.93,301500 4256000,1.5,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,3.28084,250000,7.07,84.94,301500 4256000,1,Marginal,orange,YES,187.3433565,2644.554976,36.039518
301500,4256500,POTOH,3.28084,250000,7.04,84.94,301500 4256500,1,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,0,250000,7.13,85.05,301500 4256500,0,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,4.92126,250000,7,84.93,301500 4256500,1.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,1.64042,250000,7.09,85.03,301500 4256500,0.5,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,6.56168,250000,6.93,84.82,301500 4256500,2,Marginal,orange,YES,187.3433565,2644.8656615,36.3502035000001
301500,4257000,POTOH,8.2021,250000,6.82,84.81,301500 4257000,2.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,1.64042,250000,7.07,85.04,301500 4257000,0.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,0,250000,7.11,85.06,301500 4257000,0,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,3.28084,250000,7.02,84.95,301500 4257000,1,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,4.92126,250000,6.98,84.93,301500 4257000,1.5,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,6.56168,250000,6.91,84.82,301500 4257000,2,Marginal,orange,YES,187.3433565,2645.176347,36.6608890000002
301500,4257500,POTOH,8.2021,250000,6.8,84.81,301500 4257500,2.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,0,250000,7.1,85.07,301500 4257500,0,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,4.92126,250000,6.97,84.94,301500 4257500,1.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,6.56168,250000,6.89,84.82,301500 4257500,2,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,1.64042,250000,7.05,85.05,301500 4257500,0.5,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4257500,POTOH,3.28084,250000,7.01,84.96,301500 4257500,1,Marginal,orange,YES,187.3433565,2645.4870325,36.9715745000003
301500,4258000,POTOH,6.56168,250000,6.87,84.83,301500 4258000,2,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,8.2021,250000,6.79,84.82,301500 4258000,2.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,3.28084,250000,7,84.99,301500 4258000,1,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,4.92126,250000,6.97,84.96,301500 4258000,1.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,0,250000,7.09,85.09,301500 4258000,0,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258000,POTOH,1.64042,250000,7.04,85.07,301500 4258000,0.5,Marginal,orange,YES,187.3433565,2645.797718,37.2822600000004
301500,4258500,POTOH,3.28084,250000,7,85.01,301500 4258500,1,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,8.2021,250000,6.79,84.84,301500 4258500,2.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
301500,4258500,POTOH,4.92126,250000,6.96,84.98,301500 4258500,1.5,Marginal,orange,YES,187.3433565,2646.1084035,37.5929455
