year,Habitat,volume,percent
2016,Marginal,0.4182075,6.29
2016,Suitable,3.925945,59.06
2016,Tolerable,1.0782775,16.22
2016,Unsuitable,1.2252375,18.43
2017,Marginal,0.8766925,13.17
2017,Suitable,2.943955,44.23
2017,Tolerable,1.7484475,26.27
2017,Unsuitable,1.0873225,16.33
2018,Marginal,0.3520225,5.29
2018,Suitable,4.43336,66.61
2018,Tolerable,0.9325375,14.01
2018,Unsuitable,0.9377575,14.09
2019,Marginal,1.311375,19.7
2019,Suitable,1.5873975,23.85
2019,Tolerable,1.8362775,27.59
2019,Unsuitable,1.92056,28.86
2020,Marginal,0.9571625,14.37
2020,Suitable,2.211465,33.2
2020,Tolerable,2.0053525,30.11
2020,Unsuitable,1.48606,22.31
2021,Marginal,0.926345,13.92
2021,Suitable,3.696315,55.53
2021,Tolerable,1.1331675,17.02
2021,Unsuitable,0.9011525,13.54
2022,Marginal,0.2794375,4.2
2022,Suitable,5.18688,77.94
2022,Tolerable,0.6436125,9.67
2022,Unsuitable,0.54505,8.19
2023,Marginal,0.670985,10.08
2023,Suitable,2.8653975,43.03
2023,Tolerable,1.8039425,27.09
2023,Unsuitable,1.3181675,19.8
2024,Marginal,1.601015,28.08
2024,Suitable,0.5444575,9.55
2024,Tolerable,1.936265,33.96
2024,Unsuitable,1.6206225,28.42
2025,Marginal,1.4261725,25.01
2025,Suitable,0.8688825,15.23
2025,Tolerable,1.8681425,32.75
2025,Unsuitable,1.5402825,27.01
2026,Marginal,0.7194025,12.61
2026,Suitable,2.039675,35.75
2026,Tolerable,1.5693,27.51
2026,Unsuitable,1.37655,24.13
