year,Habitat,volume,percent,color,level
2016,Unsuitable,1.93904,8.93,black,0
2017,Unsuitable,4.90975,22.6,black,0
2018,Unsuitable,4.40362,20.27,black,0
2019,Unsuitable,4.33896,19.97,black,0
2021,Unsuitable,1.93825,8.92,black,0
2022,Unsuitable,3.47875,16.01,black,0
2023,Unsuitable,1.63225,7.51,black,0
2025,Unsuitable,4.2675,19.69,black,0
2016,Marginal,0.876,4.03,orange,1
2017,Marginal,0.66567,3.06,orange,1
2018,Marginal,1.1558,5.32,orange,1
2019,Marginal,0.90125,4.15,orange,1
2021,Marginal,0.7155,3.29,orange,1
2022,Marginal,0.427,1.97,orange,1
2023,Marginal,1.93125,8.89,orange,1
2025,Marginal,0.57,2.63,orange,1
2016,Tolerable,1.14851,5.29,yellow,2
2017,Tolerable,1.30677,6.02,yellow,2
2018,Tolerable,1.50967,6.95,yellow,2
2019,Tolerable,0.76781,3.53,yellow,2
2021,Tolerable,0.633,2.91,yellow,2
2022,Tolerable,1.07957,4.97,yellow,2
2023,Tolerable,0.76237,3.51,yellow,2
2025,Tolerable,0.51267,2.37,yellow,2
2016,Suitable,17.75999,81.75,dodgerblue,3
2017,Suitable,14.84135,68.32,dodgerblue,3
2018,Suitable,14.65445,67.46,dodgerblue,3
2019,Suitable,15.71552,72.34,dodgerblue,3
2021,Suitable,18.43679,84.87,dodgerblue,3
2022,Suitable,16.73822,77.05,dodgerblue,3
2023,Suitable,17.39767,80.09,dodgerblue,3
2025,Suitable,16.32137,75.31,dodgerblue,3
