year,Habitat,volume,percent,color,level
2016,Unsuitable,2.3148125,5.09,black,0
2017,Unsuitable,4.8435825,10.64,black,0
2018,Unsuitable,5.345415,11.74,black,0
2019,Unsuitable,5.2379225,11.51,black,0
2021,Unsuitable,1.33718,2.94,black,0
2022,Unsuitable,3.2773575,7.2,black,0
2023,Unsuitable,1.10381,2.43,black,0
2025,Unsuitable,3.282825,8.61,black,0
2016,Marginal,2.0369725,4.48,orange,1
2017,Marginal,2.6684975,5.86,orange,1
2018,Marginal,2.0245525,4.45,orange,1
2019,Marginal,3.148065,6.92,orange,1
2021,Marginal,0.9912775,2.18,orange,1
2022,Marginal,1.7559375,3.86,orange,1
2023,Marginal,1.54375,3.39,orange,1
2025,Marginal,1.5116875,3.96,orange,1
2016,Tolerable,2.5528175,5.61,yellow,2
2017,Tolerable,3.7374025,8.21,yellow,2
2018,Tolerable,2.517135,5.53,yellow,2
2019,Tolerable,2.0991375,4.61,yellow,2
2021,Tolerable,1.407975,3.09,yellow,2
2022,Tolerable,5.2030225,11.43,yellow,2
2023,Tolerable,2.074345,4.56,yellow,2
2025,Tolerable,1.8168475,4.76,yellow,2
2016,Suitable,38.589515,84.82,dodgerblue,3
2017,Suitable,34.274805,75.29,dodgerblue,3
2018,Suitable,35.6330025,78.28,dodgerblue,3
2019,Suitable,35.032475,76.96,dodgerblue,3
2021,Suitable,41.775985,91.79,dodgerblue,3
2022,Suitable,35.2856575,77.51,dodgerblue,3
2023,Suitable,40.7865525,89.62,dodgerblue,3
2025,Suitable,31.52337,82.66,dodgerblue,3
