UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY
375000,4266000,CB4MH,21.32546,1e+06,1.05,67.47,375000 4266000,6.5,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,32.8084,1e+06,1.32,67.5,375000 4266000,10,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,3.28084,1e+06,9.74,73.16,375000 4266000,1,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,18.04462,1e+06,1.93,67.81,375000 4266000,5.5,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,4.92126,1e+06,9.51,73.07,375000 4266000,1.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,16.4042,1e+06,2.49,68.11,375000 4266000,5,Marginal,orange,YES,233.014125,124.768686
375000,4266000,CB4MH,22.96588,1e+06,0.96,67.52,375000 4266000,7,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,0,1e+06,10.09,73.38,375000 4266000,0,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,19.68504,1e+06,1.52,67.6,375000 4266000,6,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,24.6063,1e+06,0.93,67.5,375000 4266000,7.5,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,13.12336,1e+06,4.27,69.05,375000 4266000,4,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,8.2021,1e+06,8.87,72.47,375000 4266000,2.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,29.52756,1e+06,1.07,67.46,375000 4266000,9,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,27.88714,1e+06,0.99,67.46,375000 4266000,8.5,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,31.16798,1e+06,1.13,67.48,375000 4266000,9.5,Unsuitable,black,YES,233.014125,124.768686
375000,4266000,CB4MH,6.56168,1e+06,9.24,72.92,375000 4266000,2,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,14.76378,1e+06,3.13,68.55,375000 4266000,4.5,Tolerable,yellow,YES,233.014125,124.768686
375000,4266000,CB4MH,1.64042,1e+06,9.95,73.22,375000 4266000,0.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,11.48294,1e+06,6.43,70.07,375000 4266000,3.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,9.84252,1e+06,8.04,71.36,375000 4266000,3,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,26.24672,1e+06,0.94,67.48,375000 4266000,8,Unsuitable,black,YES,233.014125,124.768686
375000,4267000,CB4MH,1.64042,1e+06,9.98,73.12,375000 4267000,0.5,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,11.48294,1e+06,6.25,69.82,375000 4267000,3.5,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,26.24672,1e+06,0.99,67.49,375000 4267000,8,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,8.2021,1e+06,9.01,72.54,375000 4267000,2.5,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,22.96588,1e+06,0.93,67.51,375000 4267000,7,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,6.56168,1e+06,9.34,72.96,375000 4267000,2,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,4.92126,1e+06,9.6,73.03,375000 4267000,1.5,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,13.12336,1e+06,3.9,68.75,375000 4267000,4,Tolerable,yellow,YES,233.014125,125.390057
375000,4267000,CB4MH,31.16798,1e+06,1.21,67.49,375000 4267000,9.5,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,9.84252,1e+06,8.09,71.3,375000 4267000,3,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,34.44882,1e+06,1.33,67.5,375000 4267000,10.5,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,16.4042,1e+06,2.13,67.87,375000 4267000,5,Marginal,orange,YES,233.014125,125.390057
375000,4267000,CB4MH,29.52756,1e+06,1.15,67.48,375000 4267000,9,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,14.76378,1e+06,2.73,68.3,375000 4267000,4.5,Marginal,orange,YES,233.014125,125.390057
375000,4267000,CB4MH,24.6063,1e+06,0.94,67.5,375000 4267000,7.5,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,32.8084,1e+06,1.31,67.5,375000 4267000,10,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,3.28084,1e+06,9.81,73.09,375000 4267000,1,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,27.88714,1e+06,1.06,67.48,375000 4267000,8.5,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,0,1e+06,10.06,73.29,375000 4267000,0,Suitable,dodgerblue,YES,233.014125,125.390057
375000,4267000,CB4MH,18.04462,1e+06,1.56,67.61,375000 4267000,5.5,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,19.68504,1e+06,1.29,67.51,375000 4267000,6,Unsuitable,black,YES,233.014125,125.390057
375000,4267000,CB4MH,21.32546,1e+06,0.95,67.43,375000 4267000,6.5,Unsuitable,black,YES,233.014125,125.390057
375000,4268000,CB4MH,26.24672,1e+06,1.04,67.5,375000 4268000,8,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,19.68504,1e+06,1.09,67.42,375000 4268000,6,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,14.76378,1e+06,2.33,68.05,375000 4268000,4.5,Marginal,orange,YES,233.014125,126.011428
375000,4268000,CB4MH,27.88714,1e+06,1.14,67.5,375000 4268000,8.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,24.6063,1e+06,0.95,67.5,375000 4268000,7.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,29.52756,1e+06,1.23,67.5,375000 4268000,9,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,21.32546,1e+06,0.87,67.41,375000 4268000,6.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,37.72966,1e+06,1.43,67.5,375000 4268000,11.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,18.04462,1e+06,1.21,67.43,375000 4268000,5.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,31.16798,1e+06,1.28,67.5,375000 4268000,9.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,32.8084,1e+06,1.3,67.5,375000 4268000,10,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,16.4042,1e+06,1.77,67.64,375000 4268000,5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,11.48294,1e+06,6.05,69.55,375000 4268000,3.5,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,4.92126,1e+06,9.69,73,375000 4268000,1.5,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,0,1e+06,10.02,73.22,375000 4268000,0,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,9.84252,1e+06,8.11,71.22,375000 4268000,3,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,8.2021,1e+06,9.14,72.59,375000 4268000,2.5,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,36.08924,1e+06,1.38,67.5,375000 4268000,11,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,3.28084,1e+06,9.89,73.01,375000 4268000,1,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,22.96588,1e+06,0.9,67.5,375000 4268000,7,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,13.12336,1e+06,3.52,68.46,375000 4268000,4,Tolerable,yellow,YES,233.014125,126.011428
375000,4268000,CB4MH,34.44882,1e+06,1.33,67.5,375000 4268000,10.5,Unsuitable,black,YES,233.014125,126.011428
375000,4268000,CB4MH,1.64042,1e+06,10,73.02,375000 4268000,0.5,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4268000,CB4MH,6.56168,1e+06,9.44,72.99,375000 4268000,2,Suitable,dodgerblue,YES,233.014125,126.011428
375000,4269000,CB4MH,3.28084,1e+06,9.89,73.01,375000 4269000,1,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,4.92126,1e+06,9.69,73,375000 4269000,1.5,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,34.44882,1e+06,1.33,67.5,375000 4269000,10.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,18.04462,1e+06,1.2,67.42,375000 4269000,5.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,19.68504,1e+06,1.08,67.41,375000 4269000,6,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,0,1e+06,10.01,73.21,375000 4269000,0,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,26.24672,1e+06,1.04,67.5,375000 4269000,8,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,16.4042,1e+06,1.75,67.63,375000 4269000,5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,29.52756,1e+06,1.24,67.5,375000 4269000,9,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,13.12336,1e+06,3.5,68.44,375000 4269000,4,Tolerable,yellow,YES,233.014125,126.632799
375000,4269000,CB4MH,32.8084,1e+06,1.3,67.5,375000 4269000,10,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,1.64042,1e+06,10,73.01,375000 4269000,0.5,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,14.76378,1e+06,2.3,68.03,375000 4269000,4.5,Marginal,orange,YES,233.014125,126.632799
375000,4269000,CB4MH,36.08924,1e+06,1.38,67.5,375000 4269000,11,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,9.84252,1e+06,8.11,71.22,375000 4269000,3,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,31.16798,1e+06,1.29,67.5,375000 4269000,9.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,6.56168,1e+06,9.44,72.99,375000 4269000,2,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,21.32546,1e+06,0.86,67.4,375000 4269000,6.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,27.88714,1e+06,1.14,67.5,375000 4269000,8.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,22.96588,1e+06,0.9,67.5,375000 4269000,7,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,24.6063,1e+06,0.95,67.5,375000 4269000,7.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,8.2021,1e+06,9.14,72.59,375000 4269000,2.5,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,11.48294,1e+06,6.04,69.54,375000 4269000,3.5,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4270000,CB4MH,24.6063,1e+06,0.93,67.5,375000 4270000,7.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,21.32546,1e+06,0.93,67.43,375000 4270000,6.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,26.24672,1e+06,0.99,67.49,375000 4270000,8,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,32.8084,1e+06,1.3,67.5,375000 4270000,10,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,1.64042,1e+06,10.02,73.12,375000 4270000,0.5,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,18.04462,1e+06,1.51,67.59,375000 4270000,5.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,14.76378,1e+06,2.67,68.26,375000 4270000,4.5,Marginal,orange,YES,233.014125,127.25417
375000,4270000,CB4MH,31.16798,1e+06,1.21,67.49,375000 4270000,9.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,6.56168,1e+06,9.37,72.93,375000 4270000,2,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,4.92126,1e+06,9.65,73.02,375000 4270000,1.5,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,22.96588,1e+06,0.92,67.51,375000 4270000,7,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,16.4042,1e+06,2.08,67.84,375000 4270000,5,Marginal,orange,YES,233.014125,127.25417
375000,4270000,CB4MH,13.12336,1e+06,3.84,68.71,375000 4270000,4,Tolerable,yellow,YES,233.014125,127.25417
