UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY
300500,4254500,POTOH,3.28084,250000,8.57,73.69,300500 4254500,1,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,0,250000,8.62,73.73,300500 4254500,0,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,4.92126,250000,8.55,73.59,300500 4254500,1.5,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,6.56168,250000,8.52,73.58,300500 4254500,2,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
300500,4254500,POTOH,1.64042,250000,8.6,73.71,300500 4254500,0.5,Suitable,dodgerblue,YES,186.7219855,35.1074615000002
301000,4265500,POTOH,4.92126,250000,8.72,73.06,301000 4265500,1.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,9.84252,250000,8.66,72.61,301000 4265500,3,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,0,250000,8.93,73.64,301000 4265500,0,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,6.56168,250000,8.66,72.88,301000 4265500,2,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,8.2021,250000,8.66,72.61,301000 4265500,2.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,3.28084,250000,8.8,73.16,301000 4265500,1,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,11.48294,250000,8.66,72.51,301000 4265500,3.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4265500,POTOH,1.64042,250000,8.87,73.4,301000 4265500,0.5,Suitable,dodgerblue,YES,187.032671,41.9425425000004
301000,4266000,POTOH,11.48294,250000,8.67,72.51,301000 4266000,3.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,9.84252,250000,8.67,72.61,301000 4266000,3,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,14.76378,250000,7.52,72.8,301000 4266000,4.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,1.64042,250000,8.88,73.36,301000 4266000,0.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,4.92126,250000,8.74,73.02,301000 4266000,1.5,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,6.56168,250000,8.67,72.84,301000 4266000,2,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,3.28084,250000,8.81,73.12,301000 4266000,1,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,0,250000,8.94,73.59,301000 4266000,0,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,13.12336,250000,7.52,72.8,301000 4266000,4,Suitable,dodgerblue,YES,187.032671,42.253228
301000,4266000,POTOH,8.2021,250000,8.67,72.61,301000 4266000,2.5,Suitable,dodgerblue,YES,187.032671,42.253228
301500,4256000,POTOH,3.28084,250000,8.51,73.69,301500 4256000,1,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,1.64042,250000,8.54,73.74,301500 4256000,0.5,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,4.92126,250000,8.48,73.59,301500 4256000,1.5,Suitable,dodgerblue,YES,187.3433565,36.039518
301500,4256000,POTOH,6.56168,250000,8.45,73.57,301500 4256000,2,Suitable,dodgerblue,YES,187.3433565,36.039518
