UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY
375000,4266000,CB4MH,6.56168,1e+06,9.39,65.1,375000 4266000,2,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,32.8084,1e+06,3.5,56.4,375000 4266000,10,Tolerable,yellow,YES,233.014125,124.768686
375000,4266000,CB4MH,1.64042,1e+06,9.44,65,375000 4266000,0.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,8.2021,1e+06,9.37,65.2,375000 4266000,2.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,29.52756,1e+06,3.89,57.7,375000 4266000,9,Tolerable,yellow,YES,233.014125,124.768686
375000,4266000,CB4MH,3.28084,1e+06,9.45,65,375000 4266000,1,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,31.16798,1e+06,3.47,57,375000 4266000,9.5,Tolerable,yellow,YES,233.014125,124.768686
375000,4266000,CB4MH,4.92126,1e+06,9.43,65,375000 4266000,1.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,0,1e+06,9.49,65,375000 4266000,0,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,9.84252,1e+06,9.19,65.6,375000 4266000,3,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,21.32546,1e+06,7.4,63.1,375000 4266000,6.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,22.96588,1e+06,6.64,61.8,375000 4266000,7,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,11.48294,1e+06,8.98,65.8,375000 4266000,3.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,18.04462,1e+06,8.48,64.8,375000 4266000,5.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,26.24672,1e+06,5.3,59.7,375000 4266000,8,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,27.88714,1e+06,4.57,58.5,375000 4266000,8.5,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,19.68504,1e+06,8.06,64.1,375000 4266000,6,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,13.12336,1e+06,8.92,66,375000 4266000,4,Suitable,dodgerblue,YES,233.014125,124.768686
375000,4266000,CB4MH,14.76378,1e+06,8.77,65.7,375000 4266000,4.5,Suitable,dodgerblue,YES,233.014125,124.768686
