year,Habitat,volume,percent
2016,Marginal,0.046,2.04
2016,Suitable,1.77305,78.77
2016,Tolerable,0.43175,19.18
2017,Marginal,0.217,9.64
2017,Suitable,1.76305,78.33
2017,Tolerable,0.07175,3.19
2017,Unsuitable,0.199,8.84
2018,Marginal,0.0605,2.69
2018,Suitable,1.65505,73.53
2018,Tolerable,0.1635,7.26
2018,Unsuitable,0.37175,16.52
2019,Marginal,0.12862,5.71
2019,Suitable,1.40302,62.33
2019,Tolerable,0.13186,5.86
2019,Unsuitable,0.5873,26.09
2021,Marginal,0.05675,2.52
2021,Suitable,1.84205,81.84
2021,Tolerable,0.073,3.24
2021,Unsuitable,0.279,12.4
2022,Marginal,0.249,11.06
2022,Suitable,1.83005,81.31
2022,Tolerable,0.169,7.51
2022,Unsuitable,0.00275,0.12
2023,Marginal,0.147,6.53
2023,Suitable,1.70855,75.91
2023,Tolerable,0.37325,16.58
2023,Unsuitable,0.022,0.98
2024,Marginal,0.04475,2
2024,Suitable,1.74263,77.77
2024,Tolerable,0.07242,3.23
2024,Unsuitable,0.381,17
2025,Marginal,0.111,4.93
2025,Suitable,2.0418,90.71
2025,Tolerable,0.098,4.35
2026,Marginal,0.157,7.01
2026,Suitable,1.8178,81.12
2026,Tolerable,0.266,11.87
