year,Habitat,volume,percent
2016,Marginal,0.02975,0.45
2016,Suitable,6.12992,92.27
2016,Tolerable,0.4835625,7.28
2017,Marginal,0.17575,2.64
2017,Suitable,6.0757225,91.21
2017,Tolerable,0.2638125,3.96
2017,Unsuitable,0.1456875,2.19
2018,Marginal,0.131,1.97
2018,Suitable,5.9413425,89.23
2018,Tolerable,0.226625,3.4
2018,Unsuitable,0.3591875,5.39
2019,Marginal,0.2643,3.98
2019,Suitable,5.123575,77.14
2019,Tolerable,0.2256325,3.4
2019,Unsuitable,1.02849,15.48
2021,Marginal,0.0829325,1.25
2021,Suitable,6.306875,94.9
2021,Tolerable,0.10426,1.57
2021,Unsuitable,0.151625,2.28
2022,Marginal,0.14375,2.16
2022,Suitable,6.33811,95.13
2022,Tolerable,0.166125,2.49
2022,Unsuitable,0.01425,0.21
2023,Marginal,0.124125,1.86
2023,Suitable,6.10336,91.64
2023,Tolerable,0.3938125,5.91
2023,Unsuitable,0.0389375,0.58
2024,Marginal,0.1133125,1.99
2024,Suitable,4.937685,86.63
2024,Tolerable,0.24655,4.33
2024,Unsuitable,0.402375,7.06
2025,Marginal,0.05625,0.85
2025,Suitable,6.4795575,97.54
2025,Tolerable,0.103,1.55
2025,Unsuitable,0.004,0.06
2026,Marginal,0.0929375,1.63
2026,Suitable,5.4139825,94.87
2026,Tolerable,0.19775,3.47
2026,Unsuitable,0.001875,0.03
