UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesx,milesy,distfrommouth
300500,4254500,POTOH,1.64042,250000,7.63,64.8,300500 4254500,0.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,14.76378,250000,7.36,65,300500 4254500,4.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,8.2021,250000,7.5,64.9,300500 4254500,2.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,11.48294,250000,7.43,64.9,300500 4254500,3.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,4.92126,250000,7.58,64.8,300500 4254500,1.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
301000,4265500,POTOH,1.64042,250000,8.55,65.4,301000 4265500,0.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,14.76378,250000,8.2,65.6,301000 4265500,4.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,4.92126,250000,8.47,65.4,301000 4265500,1.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,24.6063,250000,7.76,65.5,301000 4265500,7.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,11.48294,250000,8.29,65.5,301000 4265500,3.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,18.04462,250000,8.07,65.6,301000 4265500,5.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,8.2021,250000,8.38,65.5,301000 4265500,2.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,21.32546,250000,7.97,65.6,301000 4265500,6.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
