year,Habitat,volume,percent
2015,Suitable,8.113735,99.98
2015,Tolerable,0.002,0.02
2016,Marginal,0.005375,0.08
2016,Suitable,6.6289875,99.81
2016,Tolerable,0.007125,0.11
2016,Unsuitable,0.00025,0
2017,Marginal,0.001485,0.02
2017,Suitable,6.602715,99.73
2017,Tolerable,0.0165825,0.25
2018,Marginal,0.15825,2.38
2018,Suitable,6.0287425,90.62
2018,Tolerable,0.2083125,3.13
2018,Unsuitable,0.2575,3.87
2019,Marginal,0.0235,0.35
2019,Suitable,6.5103675,97.75
2019,Tolerable,0.1208125,1.81
2019,Unsuitable,0.005375,0.08
2020,Marginal,0.21875,3.34
2020,Suitable,6.1231325,93.46
2020,Tolerable,0.19497,2.98
2020,Unsuitable,0.015,0.23
2021,Marginal,0.3105,4.66
2021,Suitable,5.7140525,85.85
2021,Tolerable,0.36625,5.5
2021,Unsuitable,0.2654375,3.99
2022,Suitable,6.6572425,100
2023,Suitable,5.6891075,99.77
2023,Tolerable,0.01325,0.23
2024,Marginal,0.042,0.74
2024,Suitable,5.5176525,96.79
2024,Tolerable,0.085575,1.5
2024,Unsuitable,0.0555,0.97
2025,Marginal,0.225985,3.96
2025,Suitable,5.0653625,88.81
2025,Tolerable,0.255635,4.48
2025,Unsuitable,0.1565,2.74
