UTMX,UTMY
403000,4384000
404000,4384000
404000,4383000
405000,4383000
405000,4382000
406000,4382000
405000,4381000
406000,4381000
407000,4381000
406000,4380000
407000,4380000
407000,4379000
411000,4379000
407000,4378000
408000,4378000
411000,4378000
412000,4378000
407000,4377000
408000,4377000
409000,4377000
410000,4377000
412000,4377000
413000,4377000
414000,4377000
407000,4376000
408000,4376000
412000,4376000
413000,4376000
414000,4376000
415000,4376000
405000,4375000
407000,4375000
408000,4375000
413000,4375000
414000,4375000
415000,4375000
407000,4374000
408000,4374000
412000,4374000
414000,4374000
415000,4374000
405000,4373000
407000,4373000
408000,4373000
409000,4373000
411000,4373000
412000,4373000
413000,4373000
414000,4373000
403000,4372000
404000,4372000
405000,4372000
406000,4372000
408000,4372000
409000,4372000
410000,4372000
411000,4372000
412000,4372000
413000,4372000
414000,4372000
404000,4371000
405000,4371000
406000,4371000
407000,4371000
408000,4371000
409000,4371000
410000,4371000
411000,4371000
412000,4371000
413000,4371000
414000,4371000
406000,4370000
408000,4370000
409000,4370000
410000,4370000
411000,4370000
412000,4370000
413000,4370000
414000,4370000
406000,4369000
407000,4369000
409000,4369000
410000,4369000
411000,4369000
412000,4369000
413000,4369000
406000,4368000
407000,4368000
409000,4368000
410000,4368000
411000,4368000
412000,4368000
413000,4368000
409000,4367000
410000,4367000
411000,4367000
412000,4367000
413000,4367000
405000,4366000
406000,4366000
408000,4366000
409000,4366000
410000,4366000
411000,4366000
412000,4366000
413000,4366000
405000,4365000
406000,4365000
407000,4365000
408000,4365000
409000,4365000
410000,4365000
411000,4365000
412000,4365000
413000,4365000
414000,4365000
404000,4364000
405000,4364000
406000,4364000
407000,4364000
408000,4364000
409000,4364000
410000,4364000
411000,4364000
412000,4364000
413000,4364000
407000,4363000
408000,4363000
409000,4363000
410000,4363000
411000,4363000
412000,4363000
403000,4363000
404000,4363000
405000,4363000
406000,4363000
400000,4362000
401000,4362000
402000,4362000
403000,4362000
404000,4362000
405000,4362000
406000,4362000
407000,4362000
408000,4362000
409000,4362000
410000,4362000
400000,4361000
401000,4361000
402000,4361000
403000,4361000
404000,4361000
405000,4361000
406000,4361000
407000,4361000
408000,4361000
409000,4361000
410000,4361000
396000,4360000
398000,4360000
399000,4360000
400000,4360000
401000,4360000
402000,4360000
403000,4360000
404000,4360000
405000,4360000
406000,4360000
407000,4360000
408000,4360000
398000,4359000
399000,4359000
400000,4359000
401000,4359000
402000,4359000
403000,4359000
404000,4359000
405000,4359000
406000,4359000
397000,4358000
398000,4358000
399000,4358000
400000,4358000
401000,4358000
402000,4358000
403000,4358000
404000,4358000
396000,4357000
397000,4357000
398000,4357000
399000,4357000
400000,4357000
401000,4357000
402000,4357000
403000,4357000
393000,4356000
394000,4356000
395000,4356000
396000,4356000
397000,4356000
398000,4356000
