months,maxdatawb,mindatawb,meandatawb
January,100,98.627215,99.93728
February,100,99.964205,99.99834
March,100,99.853254,99.99126
April,100,96.259686,99.44283
May,99.94289,71.554099,90.78836
Early June,91.80321,67.889627,78.31424
Late June,89.09262,59.486843,76.06932
Early July,88.55161,11.739094,64.54837
Late July,85.45735,2.516686,56.85114
Early August,86.25828,4.312487,60.98641
Late August,91.38191,26.203638,72.0809
September,97.89752,77.12605,87.94222
October,100,88.448145,97.02661
November,100,97.011848,99.83884
December,100,95.315226,99.77699
