months,maxdatawb,mindatawb,meandatawb,,,2023,2024,,mean2023,mean2024
January,100,98.627215,99.93728,,,100,100,,99.93897514,99.93732461
February,100,99.964205,99.99834,,,99.99,100,,99.99811459,99.99833407
March,100,99.853254,99.99126,,,100,100,,99.99149622,99.99126622
April,100,96.259686,99.44283,,,99.98,99.23,,99.45734811,99.44321206
May,99.94289,71.554099,90.78836,,,96.85,93.41,,90.95218811,90.79267127
Early June,91.80321,67.889627,78.31424,,,93.74,,,78.73115243,78.32521138
Late June,89.09262,59.486843,76.06932,,,95.18,,,76.58582486,76.08291223
Early July,88.55161,11.739094,64.54837,,,67.12,39.86,,64.61787351,64.55019904
Late July,85.45735,2.516686,56.85114,,,46.41,66.77,,56.56894703,56.84371387
Early August,86.25828,4.312487,60.98641,,,,87.1,,59.33812865,60.94303417
Late August,91.38191,26.203638,72.0809,,,,84.51,,70.13276757,72.02963336
September,97.89752,77.12605,87.94222,,,75.44,93.47,,87.60432216,87.93332795
October,100,88.448145,97.02661,,,99.96,98.96,,97.10589081,97.02869634
November,100,97.011848,99.83884,,,,100,,97.14049297,99.76783087
December,100,95.315226,99.77699,,,,100,,97.08031459,99.70602486
