X,colout,Sdepth,UTMX,UTMY
51663,7.75,0,407000,4088000
51664,7.79,0.5,407000,4088000
51665,7.8,1,407000,4088000
51666,7.72,1.5,407000,4088000
51667,7.6,2,407000,4088000
51668,7.49,2.5,407000,4088000
51669,7.46,3,407000,4088000
51670,7.48,3.5,407000,4088000
51671,7.21,4,407000,4088000
51672,7.16,4.5,407000,4088000
51673,6.57,5,407000,4088000
51674,6.39,5.5,407000,4088000
51675,6.38,6,407000,4088000
51537,7.78,0.5,408000,4089000
51539,7.69,1.5,408000,4089000
51541,7.47,2.5,408000,4089000
51543,7.46,3.5,408000,4089000
51545,7.17,4.5,408000,4089000
51547,6.39,5.5,408000,4089000
51549,6.41,6.5,408000,4089000
51551,6.41,7.5,408000,4089000
51554,7.76,0.5,409000,4089000
51556,7.67,1.5,409000,4089000
51558,7.45,2.5,409000,4089000
51560,7.44,3.5,409000,4089000
51562,7.18,4.5,409000,4089000
51564,6.39,5.5,409000,4089000
51566,6.41,6.5,409000,4089000
51568,6.41,7.5,409000,4089000
51370,7.76,0.5,409000,4090000
51372,7.66,1.5,409000,4090000
51374,7.45,2.5,409000,4090000
51376,7.43,3.5,409000,4090000
51378,7.18,4.5,409000,4090000
51380,6.39,5.5,409000,4090000
51382,6.41,6.5,409000,4090000
51384,6.41,7.5,409000,4090000
51387,7.74,0.5,410000,4090000
51389,7.64,1.5,410000,4090000
51391,7.43,2.5,410000,4090000
51393,7.42,3.5,410000,4090000
51395,7.19,4.5,410000,4090000
51397,6.39,5.5,410000,4090000
51399,6.41,6.5,410000,4090000
51401,6.41,7.5,410000,4090000
51178,7.73,0,409000,4091000
51180,7.73,1,409000,4091000
51182,7.54,2,409000,4091000
51184,7.41,3,409000,4091000
51186,7.23,4,409000,4091000
51188,6.57,5,409000,4091000
51190,6.38,6,409000,4091000
51192,6.41,7,409000,4091000
51195,7.73,0.5,410000,4091000
51197,7.63,1.5,410000,4091000
51199,7.43,2.5,410000,4091000
51201,7.41,3.5,410000,4091000
51203,7.2,4.5,410000,4091000
51205,6.39,5.5,410000,4091000
51207,6.41,6.5,410000,4091000
51209,6.41,7.5,410000,4091000
50985,7.71,0,410000,4092000
50986,7.72,0.5,410000,4092000
50987,7.69,1,410000,4092000
50988,7.61,1.5,410000,4092000
50989,7.51,2,410000,4092000
50990,7.42,2.5,410000,4092000
50991,7.38,3,410000,4092000
50992,7.4,3.5,410000,4092000
50993,7.24,4,410000,4092000
50994,7.2,4.5,410000,4092000
50995,6.57,5,410000,4092000
50996,6.39,5.5,410000,4092000
50997,6.38,6,410000,4092000
50998,6.41,6.5,410000,4092000
50999,6.41,7,410000,4092000
51000,6.41,7.5,410000,4092000
51001,6.41,8,410000,4092000
49560,7.66,0,407000,4098000
49561,7.65,0.5,407000,4098000
49562,7.6,1,407000,4098000
49563,7.53,1.5,407000,4098000
49564,7.44,2,407000,4098000
49565,7.36,2.5,407000,4098000
49566,7.32,3,407000,4098000
49567,7.33,3.5,407000,4098000
49568,7.21,4,407000,4098000
49569,7.17,4.5,407000,4098000
49570,6.61,5,407000,4098000
49571,6.51,5.5,407000,4098000
49572,6.42,6,407000,4098000
49573,6.63,6.5,407000,4098000
49574,6.64,7,407000,4098000
49575,6.68,7.5,407000,4098000
49381,7.67,0,406000,4099000
49382,7.67,0.5,406000,4099000
49383,7.63,1,406000,4099000
49384,7.55,1.5,406000,4099000
49385,7.46,2,406000,4099000
49386,7.35,2.5,406000,4099000
49387,7.31,3,406000,4099000
49388,7.32,3.5,406000,4099000
49389,7.19,4,406000,4099000
49390,7.15,4.5,406000,4099000
49391,6.61,5,406000,4099000
49392,6.5,5.5,406000,4099000
49393,6.42,6,406000,4099000
49394,6.63,6.5,406000,4099000
49395,6.64,7,406000,4099000
49396,6.68,7.5,406000,4099000
49207,7.69,0,405000,4100000
49208,7.69,0.5,405000,4100000
49209,7.66,1,405000,4100000
49210,7.59,1.5,405000,4100000
49211,7.47,2,405000,4100000
49212,7.34,2.5,405000,4100000
49213,7.29,3,405000,4100000
49214,7.31,3.5,405000,4100000
49215,7.16,4,405000,4100000
49216,7.11,4.5,405000,4100000
49217,6.6,5,405000,4100000
49218,6.49,5.5,405000,4100000
49219,6.41,6,405000,4100000
49220,6.63,6.5,405000,4100000
49221,6.64,7,405000,4100000
49222,6.68,7.5,405000,4100000
49223,6.7,8,405000,4100000
49224,6.7,8.5,405000,4100000
48434,7.67,0,406000,4101000
48435,7.65,0.5,406000,4101000
48436,7.6,1,406000,4101000
48437,7.53,1.5,406000,4101000
48438,7.43,2,406000,4101000
48439,7.32,2.5,406000,4101000
48440,7.28,3,406000,4101000
48441,7.29,3.5,406000,4101000
48442,7.2,4,406000,4101000
48443,7.15,4.5,406000,4101000
48444,6.6,5,406000,4101000
48445,6.48,5.5,406000,4101000
48446,6.42,6,406000,4101000
48447,6.63,6.5,406000,4101000
48448,6.64,7,406000,4101000
48449,6.68,7.5,406000,4101000
48450,6.7,8,406000,4101000
48451,6.7,8.5,406000,4101000
48328,7.76,0,403000,4102000
48330,7.76,1,403000,4102000
48332,7.5,2,403000,4102000
48334,7.21,3,403000,4102000
48336,7.09,4,403000,4102000
48338,6.59,5,403000,4102000
48340,6.4,6,403000,4102000
48343,7.72,0.5,404000,4102000
48345,7.63,1.5,404000,4102000
48347,7.29,2.5,404000,4102000
48349,7.25,3.5,404000,4102000
48351,7.04,4.5,404000,4102000
48353,6.46,5.5,404000,4102000
48355,6.63,6.5,404000,4102000
48239,7.75,0,403000,4103000
48240,7.76,0.5,403000,4103000
48241,7.75,1,403000,4103000
48242,7.68,1.5,403000,4103000
48243,7.5,2,403000,4103000
48244,7.25,2.5,403000,4103000
48245,7.15,3,403000,4103000
48246,7.2,3.5,403000,4103000
48247,7.08,4,403000,4103000
48248,6.97,4.5,403000,4103000
48249,6.59,5,403000,4103000
48250,6.44,5.5,403000,4103000
48251,6.4,6,403000,4103000
