Segment,UTMX,UTMY,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm
POTTF,302000,4266500,13.12336,250000,NA,82.6,302000 4266500,4
POTTF,302000,4267000,11.48294,250000,NA,83,302000 4267000,3.5
POTTF,302500,4267500,13.12336,250000,NA,82.8,302500 4267500,4
POTTF,303000,4268000,13.12336,250000,NA,82.8,303000 4268000,4
POTTF,303000,4268500,13.12336,250000,NA,82.9,303000 4268500,4
POTTF,303500,4269000,13.12336,250000,NA,82.9,303500 4269000,4
POTTF,303500,4269500,14.76378,250000,NA,83.3,303500 4269500,4.5
POTTF,304000,4270000,13.12336,250000,NA,83.1,304000 4270000,4
POTTF,304000,4270500,13.12336,250000,NA,83.1,304000 4270500,4
POTTF,304500,4271000,9.84252,250000,NA,83.1,304500 4271000,3
POTTF,304500,4271500,8.2021,250000,NA,83.2,304500 4271500,2.5
POTTF,305000,4272000,8.2021,250000,NA,83.2,305000 4272000,2.5
POTTF,307000,4272500,9.84252,250000,NA,83.2,307000 4272500,3
POTTF,307500,4273000,9.84252,250000,NA,83.3,307500 4273000,3
POTTF,308000,4273500,9.84252,250000,NA,83.3,308000 4273500,3
POTTF,308500,4274000,9.84252,250000,NA,83.3,308500 4274000,3
POTTF,308500,4274500,11.48294,250000,NA,83.3,308500 4274500,3.5
POTTF,309500,4275000,14.76378,250000,NA,83.3,309500 4275000,4.5
POTTF,311000,4275500,19.68504,250000,NA,83.3,311000 4275500,6
POTTF,314000,4276000,24.6063,250000,NA,83.3,314000 4276000,7.5
POTTF,314500,4276500,19.68504,250000,NA,83.3,314500 4276500,6
POTTF,314500,4277000,8.2021,250000,NA,83.4,314500 4277000,2.5
POTTF,315000,4277500,16.4042,250000,NA,83.3,315000 4277500,5
POTTF,315000,4278000,13.12336,250000,NA,83.3,315000 4278000,4
POTTF,315000,4278500,14.76378,250000,NA,83.3,315000 4278500,4.5
POTTF,315000,4279000,14.76378,250000,NA,83.3,315000 4279000,4.5
POTTF,315000,4279500,13.12336,250000,NA,83.4,315000 4279500,4
POTTF,315000,4280000,6.56168,250000,NA,83.6,315000 4280000,2
POTTF,314500,4280000,8.2021,250000,NA,83.5,314500 4280000,2.5
POTTF,314500,4280500,14.76378,250000,NA,83.4,314500 4280500,4.5
POTTF,314500,4281000,6.56168,250000,NA,83.6,314500 4281000,2
POTTF,314500,4281500,6.56168,250000,NA,83.6,314500 4281500,2
POTTF,314500,4282000,9.84252,250000,NA,83.6,314500 4282000,3
POTTF,314500,4282500,18.04462,250000,NA,83.3,314500 4282500,5.5
POTTF,315000,4283000,16.4042,250000,NA,83.4,315000 4283000,5
POTTF,316000,4283500,3.28084,250000,NA,84,316000 4283500,1
POTTF,315500,4283500,9.84252,250000,NA,83.7,315500 4283500,3
POTTF,316500,4284000,4.92126,250000,NA,83.9,316500 4284000,1.5
