"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
368000,4280000,"CB4MH",11.48294,1e+06,1.65,79.9,"368000 4280000",3.5,"Randle Cliffs",0,0,"#000000","Unsuitable"
368000,4289000,"CB4MH",1.64042,1e+06,7.4,82.6,"368000 4289000",0.5,"Holland Pt Bar",2,2,"#FFFE00","Tolerable"
369000,4278000,"CB4MH",11.48294,1e+06,1.13,79.7,"369000 4278000",3.5,"Randle Cliffs",0,0,"#000000","Unsuitable"
369000,4289000,"CB4MH",1.64042,1e+06,7.44,82.6,"369000 4289000",0.5,"Holland Pt Bar",2,2,"#FFFE00","Tolerable"
372000,4271000,"CB4MH",1.64042,1e+06,6.99,82.6,"372000 4271000",0.5,"Winter Gooses",2,2,"#FFFE00","Tolerable"
373000,4271000,"CB4MH",0,1e+06,7.14,82.7,"373000 4271000",0,"Winter Gooses",2,2,"#FFFE00","Tolerable"
373000,4272000,"CB4MH",1.64042,1e+06,7.03,82.6,"373000 4272000",0.5,"Winter Gooses",2,2,"#FFFE00","Tolerable"
373000,4307000,"CB4MH",1.64042,1e+06,6.82,82.9,"373000 4307000",0.5,"Thomas Pt Shoal",2,2,"#FFFE00","Tolerable"
374000,4271000,"CB4MH",26.24672,1e+06,0.24,76.2,"374000 4271000",8,"Winter Gooses",0,0,"#000000","Unsuitable"
374000,4272000,"CB4MH",21.32546,1e+06,1.01,77.4,"374000 4272000",6.5,"Winter Gooses",0,0,"#000000","Unsuitable"
374000,4307000,"CB4MH",3.28084,1e+06,5.94,82.5,"374000 4307000",1,"Thomas Pt Shoal",2,2,"#FFFE00","Tolerable"
375000,4307000,"CB4MH",0,1e+06,7.41,83.4,"375000 4307000",0,"Thomas Pt Shoal",2,2,"#FFFE00","Tolerable"
375000,4311000,"CB4MH",1.64042,1e+06,6.5,82.5,"375000 4311000",0.5,"Tolly Pt Ground",2,2,"#FFFE00","Tolerable"
376000,4268000,"CB4MH",19.68504,1e+06,2.59,78.9,"376000 4268000",6,"Summer Gooses",1,1,"#F9A100","Marginal"
376000,4282000,"CB4MH",27.88714,1e+06,0.21,75.2,"376000 4282000",8.5,"Devils Hole",0,0,"#000000","Unsuitable"
376000,4315000,"CB4MH",1.64042,1e+06,6.59,81.9,"376000 4315000",0.5,"Hacketts Bar",3,3,"#1E90FF","Suitable"
377000,4267000,"CB4MH",21.32546,1e+06,1.91,78.3,"377000 4267000",6.5,"Summer Gooses",0,0,"#000000","Unsuitable"
377000,4268000,"CB4MH",1.64042,1e+06,7.09,82.5,"377000 4268000",0.5,"Summer Gooses",2,2,"#FFFE00","Tolerable"
377000,4269000,"CB4MH",0,1e+06,7.17,82.6,"377000 4269000",0,"Summer Gooses",2,2,"#FFFE00","Tolerable"
